stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,29.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.6,90.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.08,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,6.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,30.83,0,0,55.64,0,0,0,0,0,0,0,0,0,0,0,1049.25,15.49,0,0,65.72,0,0,8.71,0,4.33,0,0,0,0
 14-21,0,0,0,7.1,0,3.43,0,0,21.41,0,0,0,0,0,0,0,0.94,1019.3,0,0,8.7,0,0,1.55,0,2.55,283.22,0,0,0,0
 24-34,0,0,0.71,0.62,0,15.08,0,0,40.21,0,0.74,0,0,1.33,0,0,0.67,1841.11,0,0,9.77,0,0,0,0,0,390.14,0,0,0,0
 36-46,0,0,0,8.19,0,33.61,0,0,215.35,0,0,0,0.6,0,0,0,0,1663.76,0,0.73,6.9,0,0,0,0,0,446.3,0,0,1.81,1.16
 48-58,0,0,0,12.13,0,60.44,0,0,263.11,0,0,0.54,0,8.09,0,0,0,801.54,0,0,19.37,0,0,4.13,0,0,215.02,0,0,0,0
 60-70,0,0,0,7.89,0,21.93,0,0,308.56,0,0,0,0.59,4.73,0,0,0.81,855.2,1.1,0,8.56,0,0,0,0,0,86.97,0,0,0,0
 72-82,0,0,0,11,0,35.3,0,0,213.1,0.63,0,0,0,1.5,1.32,0,0.71,503.89,0,4.05,11.45,0,0,0,0,0,20.16,3.16,0,0,0
 84-94,0,0,0,13.04,0,74.04,0.63,0,207.76,4.93,0,0,5.37,0,0.75,0,0,380.52,0,0.71,19.19,0,0,0,0,0,31.14,5.21,0,0,0
 96-106,0,0,0,12.77,1.27,14.1,0,1.02,161.09,1.36,0,2.25,1.83,2.68,0.97,0,0,248.76,0,0.83,21.46,0,0,0,0,0,15.18,16.08,1.22,0,0
108-118,0,0,0,6.92,0,25.83,0,0,150.73,1.73,0,0,8.18,0,3.41,0.69,0,454.3,0,1.91,18.37,0,2.26,0,0,0,16.21,14.53,0,0,0
120,1.19,0,0,30.51,0,33.85,5.35,0,269.14,5.8,0,0,0,2.41,23.96,0,0,652.08,0,1.32,16.71,0,0,0,0,0,0,9.79,0,0,0
