stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.39,0,0,45.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.23,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.58,1.37,53.05,0,0,0,0.99,1.46,0,0,0,0,0,0,1.7,0,0,0.83,809.84,0,0,2.73,0,0,2.54,0,1.83,6.43,108.35,0,0,0,0
 24-34,0,0,0,6.76,0,206.29,0,0,0,6.91,0,1.36,0,0,0,0,0,4.05,0,0,4.87,3472.27,0,4.3,5.85,0,3.69,0,0,0,1.41,361.15,0,0,0,1.72
 36-46,0,0,0,2.15,0,1112.04,0,0,9.96,50.56,0,1.75,9.04,0,0,0,0,19.2,0,0,5.84,3684.87,1.24,3.85,1.05,5.14,2.53,0,0,0,0,443.38,0,5.16,0,0
 48-58,0,0,0,9.45,0.69,1483.17,0,0,0,93.43,0,0.63,10.22,0,0,0.91,3.73,17.59,0,0,1.31,1544.37,0,1.07,0,0,1.94,0,0,0,0,213.71,0,7.34,0,0
 60-70,0,0.65,0,0,0,1876.07,0,6.22,0,69.23,0,0,0,0,0,2.56,0,14.42,0,0,1.31,615.18,0,0.74,0,0,3.2,0,1.35,0,0,88.17,0.57,2.31,0,0
 72-82,0,0,0,7.96,0.64,1528.59,0,0,0.6,102.97,0.67,0.81,0,0,0.57,3.61,0,15.83,0,0,0,358.89,0,1.81,1.27,0,0,0,0,0,0,27.83,0,8.42,1.29,0
 84-94,0,1.01,0,3.04,1.93,819.84,5.38,0,0,98.43,0,2.51,0,0,1.5,6.9,0,26.03,3.42,1.77,0.68,251.4,0,0,0,0,0,0,0,0,0,15.41,0.71,1.21,0,0
 96-106,0,0,0,5.68,2.34,758.94,0,2.85,0,98.21,0.69,0,1.9,0,0,7.47,0,18.09,0,0,0,191.6,0,0.68,0,0,2.73,0,0,0,0,14.69,0,2.1,0,5.31
108-118,0,3.86,0,13.91,6.38,878.95,0,0,0,104,4.69,0,4.08,0.81,0.51,10.68,0,23.23,0,0,1.12,273.75,0,1.12,0,0,0,0,0,0,0,2.04,0,3.96,0.49,0
120,0,0,0,5.68,0,467.1,0,0,0,117.79,0,0,0,1.41,0,9.98,0,10.53,0,0,1.49,309.55,0,15.9,0,0,9.11,0,0,0,0,0,0,0,0,0
