stage,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,20.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.92,0,0,0
 10-12,3.15,0,0,0,0,0,0,36.58,20.51,0,0
 14-21,0,0,1.29,0,0,1.03,0,2.67,0,1.04,2.09
 24-34,0,0,0,0.64,0,0,0,4.18,0,0,1.93
 36-46,0,0,3.29,0,0,0.64,0.6,0.67,0,0,0
 48-58,0,0,4.41,0,6.9,0,0.98,1.73,0,0,0.59
 60-70,0,0,0.95,0,0,0,0,1.01,0,0,0
 72-82,0,0,0.92,0,0.61,5.62,0,3.45,0,0,0
 84-94,0,1.01,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.59,0,0,0,0,0
120,0,0,0,3.94,0,0,0,0,0,0,0
