stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,mesenchyme,mucous,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,4.41,0,0,0,0,0,0
 14-21,0,0,1.72,0,0,0,0,0,0,0,0,0,26.45,0,0,0,4.76,0.89,0,3.81,0
 24-34,0,0,0,0,0.61,0,0,0,2,0,1.31,0,19.73,0,0,0,1.64,0,0,14.85,1.48
 36-46,0,0,0,0,2.04,0,0,0,0,0,0.73,0,6.82,0,0,0,0,0,1.31,6.83,0.71
 48-58,0,0,0,0,0,0,0.64,0,0,0,4.72,0,5.46,0,0,0,0.65,0,0,2.84,0
 60-70,0,0,0,0,3.44,0,0,1.09,0,0,0.9,0,16.52,0,0,0,5.87,0,0,0,2.37
 72-82,0,0,0,0,9.77,0,0,1.14,0,0,7.28,0.92,17.5,0.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,1.11
 96-106,0,0,0,0.59,4.19,0,0,1.42,1.6,0,3.98,0,3.86,0,0,1.6,3.4,0,0.63,0,0
108-118,0,1.66,0,0,4.94,0.58,0,4.4,0,0,0,0,6.41,0,0,0,0,0,0,0,1.28
120,0,0,0,0,0,0,0,0,0,6.08,0,0,13.9,0,0,0,0,0,0,0,0
