stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,1.85,1.78,0,0,0,0,0,0,0,0,4.72,0,0,1.14,2.09,6.54,0,0,0,0,3.59,5.55,0,0
 24-34,0.67,0,0,0,1.66,0,0,0,0,0,0,0,0,0,4.85,0,17.92,0,0,0,0,0,1.58,0.6,0
 36-46,0,1.53,0,0,2.72,0,0,0,0,0,0,0,0,0,6,1.8,1.88,0,0,0,0,0,1.26,0,1.19
 48-58,0,0,0,0,2.92,0.8,0,0,0.59,0.58,0.59,0,0,0.83,6.38,0.47,3.35,0,0,0,0,0,1.85,4.36,0.55
 60-70,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0.74,0,1.03,0.73,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.19,0,0,0,2.32,0,0,0,0,0,3.58,1.55,5.31,0,0,0,0,0,0,0,0
 84-94,0,2.63,0,0,0.93,0,0,0,0,1.01,0,0,0,0,0,0,4.18,0.64,0.7,0,0,0,0,0,0
 96-106,0.95,1.84,0,0,2.4,0,0.7,1.02,0,0.77,0,0,0.67,0,11.23,0,11.59,0,0,0,0,0,0,1.16,0
108-118,0,3.1,0,0.92,9.19,0,0.48,0,0.54,3.55,0,0.42,0.92,0.84,5.47,0,1.61,0,0.72,0,0.74,0,0,0.69,0
120,0,1.84,0,0,21,0,0,0,9.14,0,0,0,0,0,0,0,2.57,0,0,6.67,0,0,0,0,0
