stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,555.76,8347.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,978.72,14457.53,0,27.94,0,0,0,0,0,0,0,0,0,61.52,0,0,0,0,0,0,0,0,0,0,0,680.44,24.32,0,0,154.32,218.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,390.59,444.34,0,660.47,0,0,0,1200.94,0,0,0,0,0,551.79,0,0,0,0,0,0,0,0,0,0,0,9477.09,368.56,0,0,4279.88,4.29,45.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,259.96,0,386.38,0,36.5,0,569.91,0,0,0,0,0,263.84,0,0,0,0,0,0,0,0,0,0,0,3987.19,292.35,0,0,1974.95,8.13,60.85,0,253.38,0,21.81,0,0,0,0,0,0
 14-21,0,0,0,14.35,126.18,19,0,10.09,0,0,0,11.8,11.21,16.49,0,0,0.81,0,0,0,0,21.77,0.9,0,19.36,118.5,39.93,0.85,1.8,11.8,0,15.12,81.62,14.3,4.52,63.95,35.46,0,0,1.12,0,0
 24-34,0,0,0.9,0,49.55,0,0,3.08,0,1.07,0,19.89,0.68,0,0,0,7.04,0,0,9.92,0,8.55,0,0,4.76,42.18,0,8.01,2,0,8.4,0,0,14.67,0.95,9.42,48.23,0,0,0,0,0.98
 36-46,0,0,0,0,13.43,0,0,3.37,1.33,1.76,0,21.75,2.12,0,0,0,0,0,0.73,0,0,6.42,0,0,2.06,76.85,0.64,1.75,2.33,0,17.1,4.64,0,28.19,4.85,0,50.27,0,0,3.98,0,0
 48-58,0,0,0,0,21.43,1.63,0,10.84,0,2.72,0,37.74,0,0,0.59,0,0.51,0,0,0,0.58,6.66,0.8,0,1,33.17,0.5,5.21,1.41,0,35.36,2.29,0,8.43,0,0,39.08,0,0,0,0,1.32
 60-70,0,0,0,0,14.93,5.52,0,31.69,0,2.91,0,63.52,0,4,0,0,1.1,0,0.66,0,0,4.45,0,1.89,6.39,31.13,0,7.09,2.92,0,26.92,0.64,0,0.62,0,0,37.36,0,0,0.87,0,0
 72-82,0,0,0,0,4.26,30.55,0,26.13,0,2.31,0,62.58,0,0.55,0,0,1.39,2.56,0.62,0,0,10.36,7.27,0,0.94,33.25,1.15,16.42,2.27,0,13.36,0,0,1.92,0,0,26.81,0,0,0,1.31,0
 84-94,0,0,0,0,22.92,11.6,0,12.37,0,1.41,0,70.8,3.28,0,0,0,0,0,2.52,0,4.33,7.31,4.07,0.73,0,14.77,0,18.12,11.35,0,47.48,0,0,6.24,0,0,16.55,0,0,1.08,0,0
 96-106,0,0,0,0,15.9,73.73,0.66,17.01,0.68,1.27,1.31,77.26,0.56,0,0,0,1.65,0,3.18,0,0,14.41,0,0,1.95,26.55,0,4.84,13.14,0,85.09,3.36,0,3.55,0,0,40.73,0.56,0.87,0,0.8,0
108-118,0,0,0,0,10.39,40.48,0,18.41,0,3.76,0,66.55,1.32,0,0,1.05,0.62,2.8,3.67,0,0,34.5,1.96,1.05,0,32.65,0.59,10.68,14.63,0,65.71,1.06,0,1.91,0,0,13.51,0.71,0,5.38,0,0
120,0,0,2.96,0,11.94,34.83,0,24.31,0,2.34,0,53.72,0,0,0,0,0,0,6.51,0,0,34.86,1.67,4.22,6.83,40.21,2.98,18.01,16.98,0,58.17,4.03,0,7.05,0,0,20.71,0,1.52,0,0,0
