stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,2.46,0.9,2.91,0,0,0
 24-34,1.14,0,0,0,0,0,0,0,0,0,1.36,0,0,0.74,11.81,0,0,4.12,0,1.5,0,0,0
 36-46,9.69,0,1.35,0,1.75,0,0,0,0,0,0,0,0,0,13.36,0,0,6.58,0,2.15,0,0,0
 48-58,0.42,0,2.11,0,0,0,0,0,0,0,1.46,0,0,0,22.71,0,0,7.12,0,3.51,0,0,0
 60-70,0,0,4.59,0,0,1.14,0,0,1.2,0,11.37,0,0,0,31.24,0,0,14.15,0,2.33,0,0,0
 72-82,4.13,8.61,0,0,0,0.65,0,0,0.65,0,0.66,0,0,0.83,6.38,0,0,12.48,0,0,0,0,4.97
 84-94,8.27,0,0,0,0,0,0,0,0,0,0.75,0,0,0,13.05,0,0.55,37.33,0,0,0,1.27,0
 96-106,3.97,0,2.02,0,2.07,6.77,0,0,0,0,1.5,1.07,0,0,10.52,0,0,12.27,0,0,0,1.49,0
108-118,4.49,0,0.6,0.58,1.5,0.68,1.04,0.42,0,6.77,6.9,0,2.57,0,10.79,0.47,0,21.26,0,0,0.43,0,0.55
120,2.67,0,0,0,0,11.26,0,0,0,0,0,0,0,1.42,7.82,0,1.61,7.93,0,0,0,2.71,0
