stage,eye,heart,mesenchyme,neural,olfactory,spinal_cord
 24-34,0,0,0,2.48,1.54,0
 36-46,0,0,0,2.11,0,0
 48-58,0.4,0,0,7.61,0,0
 60-70,0,0,0,16.27,1.19,3.52
 72-82,5.86,0.86,1.56,5.81,2.48,5.71
 84-94,0,0,1.94,3.46,0,0
 96-106,0,0,0,2.33,0,0
108-118,0,0,0,0.94,0,0
120,0,0,0,10.76,0,0
