stage,eye,glial,neural,olfactory,spinal_cord
 14-21,0,0,1.83,0.83,0
 24-34,0,1.43,35.1,0,4.48
 36-46,0,0,7.9,0,0
 48-58,0,0,2.07,0,0
 60-70,0,0,0.81,0,0
 72-82,0.71,1.44,0,0,0
 84-94,1.18,0,0,0,0
 96-106,2.14,1.58,0,0,0
