stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.65,0,0,0,13.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64,3.72,0,0,11.41,0,6.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,41.41,1.17,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,40.72,10.77,0,0,4.08,0,0,4.99,0,1.95,3.04,6.52,0,0,0,0,0
 24-34,0,82.38,0,0,3.09,0,11.09,0.74,1.08,1.35,0,0,0,0.63,0,5.29,0,0,4.11,5,0,6.51,49.91,12.96,0,0,0,3.3,0,0,3.33,0.82,3.02,12.91,0,0,2.85,0,0
 36-46,0,100.08,0,0,19.24,9.46,23.72,1.09,1.1,0,0,0,0,3.67,0,10.67,0,0,9.37,0,0,7.1,52.67,1.75,1.91,1.13,0,9.79,0,0,3.39,4,0.69,13.76,0,0,0,0,0
 48-58,0,64.14,0,0,137.72,2.34,26.64,0,3.56,0.61,1.93,0,0,0,0,13,0,0,6,5.31,0,3.42,44.95,0,1.37,3.63,0,2.14,0,0,2.82,0.45,0,8.55,0,0,1.81,0,3.91
 60-70,0,116.02,0,0,414.79,1.07,28.06,2.02,18.85,3.57,0,0,0,6.16,0,11.84,0,0,11.2,0,3.88,8.15,66.66,1.94,0,1.05,0,2.45,0,0,3.77,2.06,0,14.26,0.73,0,0,0.71,0
 72-82,0,88.29,5.7,0,344.24,0,48.49,0.5,75.55,1.32,0,0.51,0,2.03,0.93,12,0,0,39.49,2.02,2.43,10.03,78.42,0,0,1.9,0,3.1,0,0,6.92,5.44,0,20.38,1.27,0.8,8.31,8.15,8.46
 84-94,0.62,155.43,4.24,0,238.34,1.25,35.42,0.75,49.35,9.8,0,1.66,0.73,3.18,0,30.53,0.87,0,17.53,0.71,0,3.67,97.21,1.31,5.42,0.64,0,22.22,0,0,10.71,0,0,6.97,14.05,0,2.66,7.1,0
 96-106,0,178.48,11.68,0,254.18,2.96,30.65,4.17,120.58,10.88,0,0,0,0.72,0,20.87,10.33,0,23.46,0.7,0.92,3.13,87.56,0,2.23,16.18,0,10.3,0,0,7.27,0,0,12.46,3.3,0,1.47,7.51,1.4
108-118,0,299.31,0.9,3.02,153.97,2.96,68.06,2.81,166.53,23.42,0,0,0,4.08,5.04,22.18,0,0.95,18.58,0.93,0.69,2.33,112.12,0,6.07,1.6,0,16.38,0,0,5.76,1.41,0,6.89,26.5,1.75,4.75,8.61,0
120,0,334.62,4.22,0,151.51,1.76,55.51,0,196.46,5.65,5.2,0,0,1.4,0,11.06,1.23,0,28.22,4.22,3.2,6.07,213.98,0,0,2.25,0,7.96,0,0,10.94,0,0,0,11.49,2.2,0,3.51,0
