stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.1,205.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,0,407.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.43,0,11.19,0,0,3.24,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,96.52,0,0,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.79,0,6.14,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16,4.29,0,0,35.55,0,0,0,13.41,0,0,0,0,0,0,0,0
 14-21,0,3.6,0.82,75.85,2155.89,328.14,311.93,0,0.95,0,6.27,40.48,2.25,23.7,0,8.19,0,3.39,0,2.95,1095.87,2.17,0,816.86,1440.37,84.72,0.83,144.38,53.58,0,2.98,168.21,137.82,32.05,336.8,375.07,0,0,140.65,0,5.05
 24-34,4.4,0,0,10.01,139.26,8.35,22.65,0,4.04,1.53,6.48,6.69,2.51,18.71,0,0,0,5.82,2.06,0,325.67,0.62,3.25,116.95,207.14,2.9,6.23,9.32,0,0,0.59,0,8.27,0,2.62,30.39,0,0,79.79,0,1.47
 36-46,0,0,0,0.6,80.29,3.06,23.94,0,4.67,8.41,11.23,19.48,0,10.15,0,0,1.31,4.98,6.8,0,491.56,2.54,12.68,125.32,292.59,8.25,0.56,13.83,0,0,0.83,0,16.72,0,0,64.56,0,7.61,47.7,0,0
 48-58,0,0,0,0,41.65,0,11.63,0,4.65,1.9,2.81,2.95,0,0,0,0,0,2.4,0.48,0,112.63,0,17.7,20.93,53.35,0,1.04,1.49,0,2.07,0,0,2.23,0,0,8.16,0,1.27,8,0,0
 60-70,0,0,0,0,39.33,0,36.11,0.65,17.08,6.88,23.21,1.52,0,2.85,0,0,0,0.66,2.4,0,400.22,0,21.35,24.2,117.89,0.64,1.2,22.31,0,8.96,0,0,1.52,0,0,3.04,2.13,12.24,11.43,3.56,0
 72-82,0,0,0,0,10.15,0,17.3,0,0,5.38,6.53,0.82,0,2.58,0,0,0,0,0,0,88.8,0.56,9.95,11.41,18.32,0,2.69,1.08,0,0,0,0,1.36,0,0,3.01,0,0.52,0,6.51,0
 84-94,0,0,0,0,13.66,0.89,11.27,0,2.51,0,7.91,0,0,0.82,0.61,0,0.64,2.81,0,0,64.01,0,8.69,5.55,35.49,0,2.11,1.34,0,0.77,0,0,3.32,0,0,8.02,0,6.88,3.55,14.02,0
 96-106,0,0,0,0,98.26,0,10.68,0,4.42,3.44,19.03,4.66,0,8.96,1.78,0.68,0,7.04,6.49,0,242.78,0,15.17,31.01,46.26,0,4.31,1.33,0,17.81,0,0,4.42,0,0,13.32,2.75,8.26,13.2,30.76,0
108-118,0,0,0,2.33,29.74,0,13.59,1.54,5.8,5.42,17.85,1.88,0,0,1.23,3.15,0.44,2.13,6.04,0,201.74,0,7.31,6.02,73.13,3.4,2.81,1.49,0,11.93,3.82,0,4.88,0,0,0.94,0,6.92,4.02,24.32,6.66
120,0,0,0,0,13.45,0,10.31,0,0,0,10.01,0,0,2,0,0,0,0,0,0,88.74,0,7.58,8.11,34.98,0,5.91,1.43,0,22.71,10.27,0,14.19,1.37,0,0,0,2.63,1.61,2.7,0
