stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.29,857.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.01,593.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.99,0,0,0,0,6.32,0,0,0,0,0,0,0,0
  7-9,22.19,16.42,0,13.13,0,0,93.36,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,478.62,11.44,0,0,138.54,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,28.69,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.88,30.98,0,0,191.1,0,10.74,19.59,4.93,0,0,0,0,0
 14-21,0,0,0,0,11.99,2.96,1.09,0,0,2.2,0,0.98,0,0,0,0,0,0,4.11,0,3.38,54.24,0,0,0,0,0,9.3,0,2.49,11.56,0,1.8,0,0
 24-34,0,0,0,0.71,0.68,0,13.41,0,2.34,3.23,0,0,0,0,1.45,0.73,2.09,0,4.62,0,1.32,124.81,0,1.76,0,0,4.49,0,0.83,0.66,26.69,0,4.45,0,0
 36-46,0,0,0,0,0,1.01,23.63,0,0,0.91,0,0,0.6,0,0,0,0,0,6.32,0.72,2.6,128.02,0,0,0.8,0,5.4,0,0,0,28.29,0,0,0,0
 48-58,0,0,0,0,0.48,0,48.16,0,0,5.11,0,0,5.26,1.16,0,0,0,0,11.31,0.46,1.56,83.3,0,5.34,0.66,0,1.62,0,0.38,0,14.5,0,0,0,2.63
 60-70,0,0,0,0,0,0,39.16,0,0,7.95,0,0,0,0,0,0,0,0,11.81,0.98,1.13,82.21,0,2.08,0.77,0,0,0,0,0,16.88,0,0,0,0
 72-82,0,0,0,0,1.49,0,39.42,0,0.6,11.61,1.75,0,0,0.59,0.79,2.39,0,0,14.81,0,0,64.96,0,0,1.06,0,0,0,0,0,1.64,4.15,9.22,0,0
 84-94,0,0,0,0,2.12,0.84,33.51,0,1.13,2.43,0,0,0.7,0.61,0,0,0,6.05,8.27,0.6,1.85,41.37,0,0,0.69,0,0.7,0,0,0,1.79,0.71,0,0,0
 96-106,0,0,0,0,1.64,7.74,27.54,1.06,0,3.8,0.67,0,0,1.66,0,0.62,0,0,2.49,1.17,2.72,25.06,0,0,0,0,2.61,0,0,0,3.92,0,0,0.91,0
108-118,0,0,0.92,0,4.02,0.44,6.63,0,0,5.2,1.1,0,0,0,0,0.51,0,0,2.5,8.09,1.12,42.55,0,0,0,0,12.25,0,0,0,0,0.86,0,0,0
120,0,0,0,0,15.01,0,2.12,0,0,8.93,0,0,0,0,0,0,0,0,16.9,0,0,108.8,0,9.51,0,0,0,0,0,0,0,0,0,0,0
