stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.57,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.9,3.75,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,20,3.49,0,0,0,0,0,0.85,0,2.63,6.09,0,0,0,0,0
 24-34,0,0,0.6,0.95,0,5.03,0,0,0.86,0,0,0.69,0,0,0.6,0,9.52,0,0,3.58,91.47,0,1.36,0,0,0,2.11,0.69,1.16,0,18.15,0,0,0.72,0,0
 36-46,0,0,0,0,0,22.98,0,0,1.54,0,0,0,0,0,0,0,6.29,0.95,0,0.55,117.47,0,0.66,0.57,0,0,11.9,1.37,0,0,34.1,0,0,0,0,0
 48-58,0,0,0,2.32,0,21.13,0,1.14,4.7,0,0,1.6,0,0,4.44,0,5.81,0,0.56,0.8,82.95,0,0.47,0.43,0,0,7.03,0.43,0,0,20.36,0,0,1.18,0.78,0
 60-70,0,0,0,1.5,0,50.9,0,0,4.85,0,0,0,0,0,1.37,0,8.96,0,0,2.61,113.98,0,0,0,0,3.03,1.14,0,0,0,12.36,0,0,0,0,0
 72-82,0,0,0,2.25,1.9,59.52,0,0,9.87,0.63,0,0,0,0,0,0,37.13,0,0,3.67,122.03,0,0,0,0,0,2.73,0,0,0,24.03,0,0.88,0,0.62,1.08
 84-94,0,0,0,9.38,4.39,19.15,0.62,0,9.97,0.6,1.5,0.78,0,1.61,0.68,0,12.08,0,0.57,5.28,61.11,0,0,0,0,0,2.95,0.56,0,0,3.72,0,0,4.24,0,0
 96-106,0,0,0,0.57,2.96,67.9,0.6,2.73,4,0,0.96,3.01,0.74,0,1.26,0.65,25.31,0,4.89,8.63,56.8,0,0.56,2.66,0,0,1.88,2.12,0,0,1.68,0,0,2.02,0.58,1.26
108-118,0,0,1.65,7.95,0,35.94,0.54,0.8,16.5,0,0,1.73,0,0.83,0,0,18.73,0,0.45,3.72,58.94,0,1.95,5.71,0,5.63,3.32,0.85,0,0,5.59,1.01,0,1.39,1.6,2.46
120,0,0,0,16.51,3.81,12.6,5.58,0,0,6.94,0,0,0,0,1.05,0,25.91,0,1.45,0,158.44,2.14,0,0,0,0,8.45,0,0,0,4.02,0,0,0,0,0
