stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.08,0,0,0,0,0,0,0,0,26.55,0,13.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.9,0,0,0,0,43.1,0,8.06,20.89,0,0,0,0,0
 14-21,0,1.74,0,0,0,0,0,0,0,1.12,0,3.78,0,0,0,0,0,0,0,0
 24-34,0,0,0.98,0,0,0,0,1.7,0.62,0,1.41,10.04,0,0,0,0,0.88,1.91,0,0.98
 36-46,0,0,0.65,0,0,0,0,0,0,0,0,35.92,0,0,0,0,0,9.13,0,5.27
 48-58,0,0,0.48,0.41,0,0,0,0,0,0.52,0,8.63,0,0,0,0,0,3.11,0,0
 60-70,0,0,8.35,0,1.08,0,0,0,0,4.3,0.9,7.82,0,0,0,0,0,0,0,0
 72-82,0,0,8.44,0,0,0,0,0,0,0.5,0.89,10.06,0,0,0,0,0,4.38,0.75,0
 84-94,0,0,1.65,0,0,1.36,0,0.7,0,0.59,0,6.68,0,0,0,0,0,0,0,0
 96-106,0,0.82,9.45,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,2.99,0,0,0,0,0,0,0,1.67,1.02,0.83,4.87,0,0,0.67,0,0,0,0
120,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
