stage,blastomeres,epidermis,eye,fin.epithelia,hatching.gland,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.19,0,8.08,0,0,0,0,0,32.41,17.06,0,0,0,0,0
 10-12,0,0,4.46,0,0,0,0,0,36.23,22.63,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,0,0,6.43,0,0,1.3,1.18,0.95,0.96
 24-34,0,0,0,0,0,0,0,0.59,1.58,0,0,0,0,1.46,1.5
 36-46,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.98,0,1.32,0,0,0,0
 60-70,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.99,0,0,0,0,0,3.89,0,0,0,0,0,0
 84-94,0,0.84,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0
108-118,0,0,6.01,0,0,0,2.08,0,1.31,0,0,0,0,0,0
