stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,taste,vasculature
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,4.32,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.29,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0.76,0,29.68,0,1.49
 36-46,0,0,0,0,0,0,0,0,0,3.39,0.72,0,0,0,3.57,0,6.26,58.36,0,0
 48-58,0,0.86,0,2.5,0,0,0,0.73,0,0,0.38,0,2.26,0,11.89,0.47,0,47.85,0,0
 60-70,0,0.76,0,0,0,9.98,0,0,0,2.54,0,0,1.81,0,1.43,0,0,20.82,0,0
 72-82,0,0.87,0,0,0,0,1.97,0,0.52,0.53,4.99,0,5.93,0,0,0,0.56,17.17,2.3,0
 84-94,0,10.88,0,0,0,0,0.73,0,0,2.02,0,0,0.84,0,14.36,2.51,0,37.26,0.9,0
 96-106,0,13.58,0,3.09,1.83,0.57,1.73,0,0,14.27,1.48,0,10.52,1.37,12.18,4.86,0,62.31,5.55,0
108-118,0,6.44,3.75,0,0,0.64,4.29,0,0,6.73,0.49,0.6,3.09,0,9.87,5,0,22.74,4.08,0
120,0,8.75,0,0,1.73,0,6.94,0,0,4.8,0,0,0,0,0,0,0,33.53,1.47,0
