stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,108.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.6,90.89,0,0,0,0,0,0,0,0,0,0,0,122.06,0,9.09,0,7.68,0,0,0,0
  7-9,22.45,5.84,9.41,0,0,0,0,7.49,0,0,0,0,0,36.86,0,73.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.47,0,7.97,0,0,0,0,0,25.28,0,19.21,0,0,0,0,0,0
 14-21,0,0,0,0.88,0.91,0,0,0,0.96,10.9,0,0.94,0.87,5.62,0,0,0,6.68,5.87,0,0.9,2.01
 24-34,0,0,0,1.06,0,0,0,0,0,35.27,0,0.82,0,10.81,0,0,0,0,0,0.63,0,0
 36-46,0,0,0,0.65,0,0.62,2.71,0,0,62.11,0,0.87,0.84,3.79,1.55,0,0,2.24,0,0,1.74,0
 48-58,0,0,0,5.32,0,0.9,0.91,0,0,50.28,0.5,0,0,6.48,0,0,0,7.92,0,0,1.21,2.82
 60-70,0,0,0,2.47,0,2.21,4.67,0,0,76.12,0,1.7,0,7.63,1.56,0,0,0,0,0,2.34,1.52
 72-82,0,0,0,3.99,0,2.66,1.89,0,0,87.64,0,2.8,0,3.82,0,0,1.67,1.14,0,0,0,0
 84-94,0,0,0,2.37,0,11.23,0.59,0,2.63,134.33,0,0,0,13.92,0,0,0,2.34,0,0,0,1.01
 96-106,0,0,0,6.87,0,0,0,0,0,83.11,0,1.5,0.95,3.26,0.56,0,0,2.66,0,0,0,0.59
108-118,0,0,0,4.38,0,9.94,0,0,0,106.02,0,7.29,1.09,0,0,0,0,5.89,0,0,0,2.74
120,0,0,0,0,0,0,10.81,0,0,101.51,0,0,2.24,2.85,0,0,0,3.72,0,0,0,0
