stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,522.91,10374.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.87,0,0,0,0,0,0,0,0,0,0
  5-6,363.89,6013.15,0,0,0,0,0,0,0,0,0,36.59,0,0,0,0,0,0,0,0,0,0,0,249.09,22,0,0,36.78,86.11,0,0,0,0,0,0,0,0,0,0
  7-9,77.91,69.11,100.31,0,0,0,268.9,0,0,0,0,103.07,0,0,0,0,0,0,0,0,0,0,0,2231.38,48.5,0,0,929.03,0,54.74,0,0,0,0,0,0,0,0,0
 10-12,0,35.84,121.94,0,0,0,128.48,0,0,0,0,65.85,0,0,0,0,0,0,0,0,0,0,0,1418.51,17.28,0,0,585.72,5.21,36.04,0,57.06,5.05,5.32,0,0,0,0,0
 14-21,0,0,7.4,93.16,26.04,0,37.89,0,0,12.06,3.77,0,1.07,0,0.93,0,0,0,0,39.51,0,0,45.4,805.63,10,10.85,9.71,27.01,7,1.4,98.53,1.86,48.58,233.81,0,0,3.45,0,0
 24-34,0,0,0,18.87,5.25,0,141.93,0,0,20.75,1.08,0,0,6.09,1.34,0,2.42,0,0,68.77,0,0,23.02,1515.49,3.69,44.93,11.83,0,21.9,0,0.83,11.93,6.34,388.31,0,0,6.99,0,0
 36-46,0,0,0,57.37,7.77,0,467.03,0,0,26.09,0,0,2.5,10.09,0,0,0.57,0,0,57.34,0,1.39,16.46,1013.99,1.45,12.9,5.11,0,28.15,0,2.6,11.76,0,265.74,0,0,13.11,0,30.39
 48-58,0,0,0,8.69,15.51,0,655.3,0,0,25.33,0,0,1.14,3.75,0,4.96,0.49,0,0,38.96,0,6.86,11.05,589.77,4.28,3.39,2.42,0,6.47,0,0,5.48,0,91.23,0,0,3.26,0,0
 60-70,2.52,0,0,9.56,3.3,0,486.57,0,0,32.6,0.65,0,0.84,2.54,0,0.58,2.78,0,0,46.22,0,9.73,7.91,259.28,1.99,3.53,1.88,0,3.93,0,0,0,0,14.15,0,0,0.7,0,0
 72-82,0,0,0,12.05,0,0,175.4,1.11,0,30.37,2.32,0,3.02,3.96,0.52,0.67,0.68,0,0,31.4,0,1.17,5.04,188.66,0,8.8,4.54,0,1.21,0,0,0,0,4.78,0,0,3.9,0,1.1
 84-94,0,0,0,8.37,1.9,0,152.14,0,0,16.04,3.04,0,0.8,4.99,1.5,1.28,0,0,0,33.06,0,2.27,8.3,148.21,9.38,11.53,1.91,0,2.07,0,0,2.44,0,1.5,0.55,1.74,6.29,3.29,9.74
 96-106,0,0,0,14.08,7.14,0.62,105.83,0,0,20.39,2.91,0,3.26,7.04,0,0.92,1.53,0,0.71,22.57,0,3.28,3.14,157.76,0,12.04,7.91,0,0.66,0,0,1.36,0,1.31,0.67,0,3.58,0,0
108-118,0,0,0.74,11.23,8.64,0,121.05,0,0.9,30.03,5.82,0,0,5.96,0.81,0.41,0,1.13,2.88,19.08,1.38,3.64,6.77,168.43,0,11.1,2.3,0,7.3,0,0,2.13,0,4.58,0,0,4.56,0,0
120,0,0,0,4.77,12.28,0,83.32,0,0,19.81,3.16,0,0,14.96,0,0,0,3.71,0,35.51,0,0,3.46,192.78,0,0,7.36,0,0,0,0,0,0,7.3,0,0,2.86,0,0
