stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,26.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.92,4.23,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,1.03
 48-58,0,0,1.91,0,0,0,0,0,0,0.58,0.52,0,8.03,0,0,0,1.75
 60-70,0,0,0.88,0,0,0,0,0,0,0,1.26,0,5.85,0,0,0,0
 72-82,0,0.54,0,0,0,0,0,0,0.8,0,1.54,0,3.66,0,0,0,0
 84-94,0,0,0,1.52,0,0,0,0,0,0,1.13,2.03,21.28,0,2.57,0,1.19
 96-106,0,0,0,0,0,0.75,0,2.53,0,0,1.54,0,2.56,0,1.21,0,1.51
108-118,0,0,0,0,0.54,0,1.8,0,0,0,0.86,0,3.23,0,2.07,0,0
120,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0
