stage,epidermis,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,8.99,1.17,0,0,0,0,0,0,0,0,0.97,8.12,0,0,0,0,0
 24-34,0.87,0,0,0,0,0,0,0,0,0,0.61,4.82,0,0.73,0,1.58,0
 36-46,6.39,0,0,0,0,0,0,3,0,0,0,3.94,0.95,0,0,0,0.68
 48-58,0,0,0,0.59,0,0,0,2.23,0,0,0,0.98,0,0,0,0,0
 60-70,0,0,0,4.44,0,0,0,8.79,0,0,0,0,0,0,0,0,3.1
 72-82,0.84,0,0,0.96,0,0,0,4.89,0,0,0,0.73,0,0,0,0,1
 84-94,1.3,0.64,0,0,1.31,0,0,3.33,1.18,0,0,0,0,0,0,0,1.23
 96-106,0.79,0,0,0.99,0,0,0,3.58,0,0.84,1.64,6.27,0,0,0.97,3.48,1.37
108-118,1.82,0,0.61,0,0,1.17,0.72,4.91,0,0,2.93,0.57,0,0,0,0,2.02
120,0,0,0,0,5.85,0,0,0,0,0,0,3.36,0,0,0,0,0
