stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,5.46,0,0
 36-46,0,2.58,0,0.87,0,0.64,0,0,0,0,0,0,1.27,4.54,12.08,0,0
 48-58,0,0,0,0.4,0,1.09,0,0,0,0,0,0,1.24,0,3.98,0,0
 60-70,0,2.85,7.97,5.16,0,0,0.63,0,0,0,1.62,0,5.65,0,8.49,3.97,0
 72-82,0,0,0,1.3,0,1.61,0,0,0,0,7.61,0,2.38,0,0,0,0
 84-94,0,1.76,0,0,0,0,0,0,0,5.89,0,0,0,0,16.21,0,0.62
 96-106,0,0.84,0,0,0,0,0,0,0,0,2.63,2.72,3.66,0,14.05,3.63,0
108-118,1.39,1.55,0,0,0,0,0,0.67,0,1.46,0,0,0,0,10.3,0,0
120,0,0,0,0,1.26,0,4.36,0,2.98,0,0,0,2.48,0,11.17,0,0
