stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.31,0,0,0,0,0,12.03,0,0,0,0,0,0,0,0,0
 10-12,9.71,0,0,0,0,0,0,0,0,0,0,23.72,0,0,0,0,6.88,0,0,0,0
 14-21,0,1.68,0,0,0.84,0,0,0,0,0,1.05,4.31,0,0,0.86,0.85,0,0,0,0,0
 24-34,0,0.93,0,0,0,0,0,0,0,0,0,12.02,0,0.67,1.28,0,0,0.61,1.95,1.3,0.61
 36-46,0,0,0.63,0,0,0,0,0,0,0.58,2.57,8.21,1.56,0,2.12,0,0,0,4.48,0,0
 48-58,0,0,1.54,0,0,0,0,0,0,0,0.58,4.11,0,0,0.63,0,0,0,1.38,0,0
 60-70,0,0,0,1.33,0,0,0,0,0,0,0.56,0,0,0,5.12,0,0,0,0,0,0
 72-82,0,0,0.65,0,0,0,0.83,0.57,0,0,0,2.92,0,0,1.59,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.75,0,1.37,0.79,0,3.97,0,0,0,0,1.03,0,0
 96-106,0,0,0,6.83,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0
108-118,0,0,1.15,0,0,0,0,0,1.6,0,1.39,8.91,0,0,3.84,0,0,0,0,0,0
