stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.22,24.13,294.09,60.08,0,138.37,0,0,0,47.31,15.21,8.33,7.02,0,9.1,1.99,0,1.46,2.18,148.44,1.65,0,125.62,1861.17,40.03,6.02,18.6,57.09,0,63.99,6.53,146.01,22.2,8.81,239.01,601.95,0,0,5.45,0,0.85
 24-34,2.78,6.17,78.3,7.28,0,351.1,0,7.26,3.19,46.6,6.62,0,6.79,2.69,1.94,1.45,9.4,4.01,0.95,242.07,5.64,0.81,107.44,4043.46,6.16,19.74,24.13,0,1.14,105.42,0,0,30.71,3.72,39.02,829.83,0,0,70.21,0,13.24
 36-46,0.73,0.56,72.9,1.35,0,880.99,7.23,3.83,5.94,155.45,3.52,0,2.21,1.71,20.95,3.22,0.57,9.61,2.08,291.82,2.92,4.53,80.71,4705.59,13.86,24.2,14.12,0,0,126.61,0.81,0,18.24,7.22,2.35,908.8,0,1.23,52.31,0,15.15
 48-58,0.86,0.6,58.47,15.57,0,1459.23,8.89,24.25,8.54,246.45,6.05,1.63,3.04,8.72,2.98,3.81,4.49,2.1,10.96,353.98,2.26,20.18,61.01,4070.59,9.59,16.34,22.93,0,0,71.15,0,0,21.9,0.46,0.55,761.14,0,0.51,44.66,0,35.42
 60-70,0.57,0,45.96,10.32,0,1709.72,6.51,43.51,14.17,211.4,5.03,0,3.87,9.16,3.58,13.66,9.65,1.41,7.82,412.05,1.27,19.26,44.26,3155.17,4.86,13.67,29.57,0,0.66,58.1,0,0,16.16,4.19,0,367.93,1.72,3.37,50.38,5.01,27.11
 72-82,6.58,0,63.98,27.07,0,1233.28,2.91,13.13,32.29,213.73,19.73,0.55,9.53,8.73,8.41,16.93,6.47,0,1.95,405.27,5.02,7.83,36.32,2083.75,1.8,18.82,11.31,1.13,7.42,52.98,0,0,4.71,1.85,0,156.45,5.51,8.94,86.69,4.34,13.4
 84-94,0.98,0,102.14,32.99,0.64,861.41,0.95,13.66,14.03,152.87,18.94,0.71,5.09,20.2,13.17,10.29,5.67,1.81,2.82,315.92,4.57,12.58,28.67,1317.61,12.2,13.07,19.74,0,9.96,149.7,0,0,9.38,0,0,84.05,16.47,14.3,41.75,7.17,6.47
 96-106,3.01,0,60.49,77.39,4.19,684.28,2.54,8.5,12.72,158.91,26.85,0,6.1,24.21,9.83,11.73,5.26,7.48,1.65,234.54,4.37,12.15,34.08,1172.89,4.46,16.66,22.07,0,12.98,146.92,0,0,3.72,0,0,71.58,19.32,3.43,56.35,6.1,17.61
108-118,1.42,0,79.73,42.03,11.11,685.19,0.46,13.22,8.61,144.14,17.82,0,12.4,22.55,8.21,16.5,8.48,18.09,5.87,370.74,4.6,12.56,26.29,1440.01,7.61,32.97,20.89,0,7,119.23,0,0,9.01,1.93,0,55.59,27.03,11.02,39.82,8.38,12.27
120,0,0,133.83,81.42,0,823.87,0,13.63,28.56,215.37,34.98,0,1.61,75.77,7.38,12.39,0,18.53,0,309.24,5.34,31.79,62.62,1752.81,18.58,10.28,44.2,19.84,4.76,68.06,0,0,10.13,0,0,61.85,19.82,0,56.72,20.81,16.83
