stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,38.98,2.05,10.17,0,0,0,0,0,0,0,0,0,0,19.68,0,0,32.39,12.47,17.63,0,0,0,4.97,2.37,1.44,0,5.58,7.52,0,0,0,0,0
 24-34,87.46,0,8.04,5.42,0.84,0.87,0.61,0.69,0,0,0,0.82,0,114.1,0.69,0.91,38.63,18.4,57.15,0,0,3.21,0.88,0,0,0.87,2.32,6.08,0,0,1.2,0,1.45
 36-46,77.5,4.4,9.02,3.7,1.87,2.98,0,3.64,0,0,0,0,0,232.53,0.84,1.37,64.01,15.01,104.07,0,4.37,0,3.6,0,0,0.88,0,14.87,0,0,2.17,0,0
 48-58,43.05,0,8.09,10.82,5.48,2.86,1.69,0,0,0,0,0,0,134.45,0,4.37,26.61,28.05,48.65,0,2.71,0,10.1,0,0,0,0,10.87,0,1.57,0,0,0
 60-70,51.8,0,16.27,7.42,4.83,3.39,0,9.69,0,0,0,0,1.2,298.06,0.74,21.75,22.38,18.65,37.64,1.48,5.29,0,1.16,0,0,0,0,9.33,0,6.84,0,0.73,0
 72-82,16.88,0,14.57,6.57,4.01,2.4,0,7.92,0,0,1.38,0,0,182.78,0,2.85,14.16,16.04,7.19,0,4.83,3.3,1.3,0,0,0,0,0.83,0,4.37,0,3.89,0
 84-94,45.48,0,15.17,7.29,9.45,8.98,0,11.84,0,0,0,1.91,1.23,206.2,0.81,4.03,25.72,17.67,18.22,0,5.15,0.83,0,0,0,0,0,1.41,0,3.81,0,2.3,0
 96-106,18.44,0,6.8,4.61,1.8,2.33,0.6,6.84,0.95,0,0,0,0,209.71,0,19.12,14.57,15.91,12.52,2.7,0.56,3.2,3.84,0,4.13,0,0,2.16,0,8.13,0,5.84,0
108-118,45.48,0,14.11,21.83,6.78,0.98,0,2.96,1.5,1,0,0,1.26,312.28,0.77,8.46,22.77,16.72,14.14,0,4.45,0,2.55,0,0,0,0,1.8,0.46,3.07,0,4.27,0.94
120,37.08,0,2.87,12.93,6.77,9.12,0,0,1.9,0,0,0,0,134.9,0,0,10.99,21.16,20.67,0,6.61,2.76,0,0,0,0,0,0,0,8.92,0,2.7,0
