stage,endoderm,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.03,0,0,0,0,0,0,0,0,7.55,0,3.05,1.49,0.89,0,0,0,0,0
 36-46,0,0,0,0,0,1.44,0,0,0,1.17,0,0,0,7.4,0,0,0.84,0,0
 48-58,0,0,0,0.45,0,0.83,0,0,0,11.74,0,2.49,0.89,0.82,0,1.46,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.58,4.5,0,12.29,1.9,5.51,0,0,1.15,0,0
 72-82,0,0.75,1.08,0,0,0,0,0,0,22.24,5.11,8.66,0.88,3.56,3.01,0,0,0.62,0
 84-94,0,0,6.61,0,0,0,0,0,0,37.04,0,0,0,4.01,0,0,0,0,0
 96-106,0,0,0,0,0.68,0,0.56,0,0,36.88,0.96,0,2.88,5.37,6.36,0,0,0,8.81
108-118,0,0.72,2.29,0,0,0.9,0,0,0,33.12,1.92,6.99,3.8,6.02,4.45,0,0,0,0
120,0,0,0,0,0,0,0,2.88,0,21.59,0,1.48,0,3.98,7.42,0,0,7.51,0
