stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.97,0,0,1.56,0,0,0,1.26,0,0,0,0,3.36,0,0,0,0,0,0,0,0,35.37,0,0,0,0,82.96,2.08,0,0,1.74,1.79,0,0,1.6,0,0
 24-34,0,0,1.81,1.43,55.22,2.05,0,129.21,0.94,44.86,1.34,11.7,12.94,0,4.37,5.96,73.36,1.57,4.08,23.87,8.95,77.43,136.92,0.89,54.32,1466.48,8.09,184.64,15.77,0,19128.39,0,6.24,17.42,6.28,134.17,0,0,63.19,0,9.32
 36-46,0,0,0,0,159.19,14.87,0,325,40.82,263.46,6.57,73.59,12.85,0,3.58,42.66,250.77,16.12,20.17,6,41.17,186.18,919.28,9.35,54.05,2210.97,27.31,168.91,15.05,2.85,124642.51,0,6.23,14.53,0,464.18,0,0,40.64,0,69.7
 48-58,0.58,0,0,0.57,345.35,49.93,0,2168.11,9.31,1137.96,36.82,432.91,51.36,5.65,16.09,72.6,308.25,20.41,26.33,9.97,199.95,724.85,2094.68,14.55,165.02,6191.71,50.96,155.55,20.13,7.57,206947.69,0,3.44,12.87,0,1211.78,0,4.03,89.58,0.78,304.26
 60-70,0,0,0.82,0,388.5,42.97,0,2613.53,13.41,1269.42,30.22,393.39,64.25,10.03,13.14,101.01,931.78,15.98,86.43,17.03,53.6,724.57,1645.02,48.52,85.75,4620.63,33.07,198.36,58.39,2.87,198937.64,0,13.56,9.6,0,708.47,44.89,17.67,91.18,0.98,315.85
 72-82,0,0,3.22,0,438.8,83.24,0,1821.8,15.79,1862.56,19.27,293.66,48.02,3.45,8.67,75.47,744.88,32.57,278.99,13.34,14.24,581.71,1010.12,53,47.16,3349.34,42.7,161.81,51.82,5.69,152277.16,0,2.38,17.16,0,268.85,170.51,18.66,90.36,29.91,267.36
 84-94,0,0,3.77,0,1183.27,251.83,1.29,1724.01,7.73,6456.74,33.66,297.09,258.62,1.23,16.79,114.6,3282.88,39.71,466.39,27.99,59.06,684.19,3076.57,41.28,62.07,3020.15,9.21,765.77,52.18,9.52,470412.16,0,38.67,15.36,0,254.34,171.94,12.63,72.01,27.14,101.49
 96-106,0,0,7.98,2.24,1694.59,634.41,42.92,3184.05,47.15,5637.87,76.44,668.64,469.73,1.32,11.44,279.27,2943.26,70.92,934.58,187.6,21.24,1066.88,3201.15,52.11,111.27,5206.17,11.25,1092.48,63.64,22.35,317616.08,0,81.45,43.41,0,236.27,500.69,17.32,188.51,89.31,266.67
108-118,0,0,11.43,5.42,1443.68,145.8,38.68,1424.21,9.69,5447.8,28.43,414.04,829.16,0,13.43,119.18,1807.67,29.69,828.6,68.1,18.57,819.83,2655.93,54.31,58.41,3190.96,7.33,528.43,53.16,18.34,204652.81,0,5.73,3.3,0,124.43,338.24,18.75,103.75,71.03,119.37
120,0,0,0,0,931.56,150.64,25.81,879.76,8.2,3523.58,59.19,311.69,363.82,15.61,6.32,234.54,630.47,11.01,482.94,86.23,1.33,468.85,635.33,25.67,60.17,2699.94,31.94,418.54,51.38,8.63,86554.03,0,4.48,1.22,0,68.41,83.91,3.76,117.58,20.6,101.79
