stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,presomitic.mesoderm,spinal.cord,xanthophores
  5-6,11.35,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,30.54,3.17,0,0,0
 14-21,0,0,2.71,11.03,0,0,0,1.21,4.18,1.13,0,17.43,5.35,4.6,0,0.96,0,0
 24-34,0,0,1.64,1.34,0,0,0,0,0,0,0,3.43,1.25,1.31,0,0,2.68,0
 36-46,0,0,0,1,0,0,0,0,0,0,0,1.86,0,2.96,0,0,0,0
 48-58,0,0,0,0.88,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.03,0,0,0,0.85,0,0.89,0,0,0,0
 72-82,0,0,0,0,6.27,0,0,1.8,0,0,0,0.97,0,0,0,0,0,3.31
 84-94,0,0,0,0,0,0,0,0.58,0,0,0,1.09,0,5.64,0,0,0,0
 96-106,0,0.88,0,0,1.25,1.28,2.67,4.8,0,0,1.06,0,0,8.66,0,0,0,0
108-118,0,0,0,0,0,1.23,0,1.03,0,0,3.79,0,0,3.51,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0
