stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,525.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,359.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,21.94,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,3.71,0,0,33.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.13,4.22,0,0,8.27,0,0,0,0,0,3.24,8.05,0,0,0,0,0
 14-21,0,0,0,33.69,1.91,0,5.52,0,0,0,3189.04,0,3.15,3.94,1.27,1.35,0,0,0,0,8.22,0,0,3.45,3834.43,3.59,0,1.09,2.09,0,6.14,24.58,0.86,1.23,19.4,11881.4,0,0,1.21,0,0
 24-34,0,0,1.25,30.54,2.2,0,62.8,0,1.49,1.42,6122.13,3.72,2.95,1.24,2.54,3.35,26.21,3.03,0,1.23,41.1,1.37,0,22.07,4904.02,4,16.49,11.79,0,0,22.53,1.58,1.76,3.89,9.5,15042.62,0,0,56.72,0,12.62
 36-46,0,0,0,10.2,1.53,0,52.8,1.19,5.21,0,3488.23,0,3.2,0.73,2.14,0,0,0,0,0,46.53,0,4.27,14.31,2624.69,9.19,3.54,11.23,0,0,20.53,0,2.11,0.74,0.8,10100.61,0,0,13.96,0,5.87
 48-58,0,0,0,11.73,0,0,110.48,0.97,0.66,1.11,3039.88,0,0,0.71,1.88,2.75,2.08,0,1.98,0,18.54,0.95,0,4.8,813.45,0,5.46,1.29,0,0.39,16.27,0,0,5.13,0,6581.75,0,0,4.89,0,10.84
 60-70,0,0,0,13.85,0.71,0,101.88,0,0.9,1.03,3541.85,1.11,0,0,1.52,0,0,0,0,0,28.49,0,0,5.29,294.93,0,1.17,1.24,0,0,0,0,0,0,0,2874.02,0,0,0.82,0,0
 72-82,0,0,0,0,1.1,0,435.65,0,0.78,0,5465.57,0.65,0,0,0,1.02,0,0,0,0,22.53,0,0,1.88,194.08,0.58,1.05,1.48,0,0,1.69,0,0,1.5,0,922.6,0,0,4.48,0.51,6.42
 84-94,0,0,0,6.18,3.36,0,232.31,0,0,0,3880.03,0.97,0,0,0.82,0,0,6.28,0.58,0,20.19,0,0.66,0,71.68,0,1.04,3.53,0,0,11,0,0,0,0,1151.23,4.26,1.35,0,0,8
 96-106,0,0,0,19.67,0,1.6,192.25,0,0.89,0,4695.02,1.55,0,0,0.74,0,0,0,2.58,4.03,19.04,1.23,0,0,218.34,0,0.76,5.09,0,0,10.09,0,0.6,0.6,0,700.75,0,0,5.99,0,0
108-118,0,0,0,11.94,8.34,0,17.6,1.11,0.71,0,4369.45,1.51,0,0,0,0.81,6.82,0,1.95,1.51,18.65,1.25,0,2.79,148.99,0,0.43,6.75,0,0,7.1,0,0.43,1.33,0,696.5,8.19,0,2.46,2.42,0.83
120,0,0,0,30.45,0,0,22.11,0,2.42,0,4429.35,0,0,0,7.06,0,0,0,0,0,15.12,0,0,0,63.83,0,0,0,0,0,7.95,0,0,0,0,340.19,0,0,0,0,0
