stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,20.55,0,0,0,0,0
 10-12,0,0,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,1.4,0,1.94
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0.65,0,0,1.6,2.41
 36-46,0,0,0,1.22,0,7.63,0,0,1.48,0.89,0,0,0,0,1.77,0,0.65,1.63,0,0,0,0,0,0,2.22,0
 48-58,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0.5,0.53,0,0.63,3.59,0,0.63,0,0,0,0,0,0.58
 60-70,0,0,0,0,0,121.71,1.34,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1.45,0,0,0
 72-82,0,0.5,0,1.32,0,220.13,0,0,0,0,0,0,0,0,2.65,0,0,20.79,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.64,0,170.18,0,0,7.01,0,0,0,0,0,4.73,0,0,2.59,0,0,0,0,0,0,0,0.84
 96-106,0,0,0,2.39,0,326.95,0,1.02,1.5,0,0.83,0,0.87,0,2.4,1.24,0,3.87,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,227.33,0,0,1.76,0,0,0,0,0,3.7,0,0,13.04,0,0,0,0,0,0,0,0
120,0,0,0,0,2.02,268.68,0,0,13.97,0,0,1.25,0,0,10.28,0,0,23.89,0,0,0,0,0,0,0,0
