stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
 24-34,0,1.6,0,0,0,0,0,0.82,0,0,2.57,1.74,0,0,0,0,0,0,0.8,3.2,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.89,0,0,0,0,0.8,0,0,0,0,3.71,0,6.83,0.65,8.4,0,0,0,0.97,0,2.81,0,0,0,0,0
 48-58,0,0,0.41,0.89,0.57,0.53,0,0,0,0,19.46,1.17,0,0,0,11.44,0,15.96,1.18,14.47,0,0,0,0.73,0,7.46,0,0.61,0,0,0
 60-70,0.57,1.31,0.76,8.81,0,6.22,16.73,0,0,0.78,6.6,0,0,0,0,23.59,0,15,0,10,0,1.24,0,0,0,0,0,9.41,0,3.29,0
 72-82,0,0,13.81,18.53,3.39,0,1.73,0.99,0,7.1,22.96,0,0,0.69,1.4,37.32,0,58.54,2.61,19.13,0,2.95,11.42,0,0,1.14,0,25.83,0.65,26.25,0
 84-94,0,0.96,8.05,3.08,0,0,7.22,0,0,5.28,36.94,0,1.97,1.29,0,35.09,0,62.23,2.49,10.86,0,0,17.15,10.66,0,0,0,29.93,0,41.25,0
 96-106,0,2.84,19.45,10.91,0,0,9.58,5.31,4.06,5.26,57.54,0.7,0,0.84,0,77.69,0,67.05,3.82,21.95,0.69,5.1,52.07,0,0.6,0,0,26.19,2.84,63.02,0
108-118,0,3.3,1.53,1.95,0,5.18,3.45,0,8.79,2.29,52.79,0.57,0,0,0,86.64,0.51,64.25,4.37,12.12,0.81,0.43,61.72,1.56,0,0.42,0.59,14.33,0.44,52.28,3.17
120,0,3.9,5.09,14.99,0,2.35,0,19.96,0,11.88,142.39,0,0,2.12,0,92.55,0,86.74,1.9,2.04,0,4.28,73.69,0,0,0,0,19.74,0,62.14,0
