stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,300.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.97,486.41,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.68,0,8.39,0,0,0,67.69,0,0,0,0,0,132.83,0,0,0,0,0,0,0,0,0,0,440.36,0,0,0,36.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34,0,10.57,0,0,0,108.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.06,0,0,0,76.36,0,0,0,132.45,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.81,15.29,13.48,0,10.41,0,0,0,3.78,1.29,0,0,0,0,0,0,0,35.41,0,0,9.79,292.07,1.21,0.86,2.41,1.72,0,6.34,7.58,581.57,0,13.56,126.06,0,0,0,0,0
 24-34,0,0,0,0,1.22,0,0,7.47,0,0,0,1.81,0,0,0,0,0,0,0,0,7.38,0,0,0,112.36,1.15,7.03,0,0,0,3.16,0,71.85,0,0,41,0,0,2.2,0,0
 36-46,0,0,0,0,0,0,0,42.15,0,0,0,1.89,0,0,0,0,0,0,0,0,4.2,0,0.68,0.9,87.51,0,5.39,0,0,0,1.57,0,42.9,0,0,23.82,0,0,0,0,0
 48-58,0,0,0,0,3.02,0,0,273.69,0,0,0,3.97,0,0,0,0,0,0,0,4.18,2.56,0,3.08,6.48,129.01,0,6.13,0,0,0,0,0,31.41,0,0,15.66,0,0,2.94,0,0
 60-70,0,0,0,0,0.93,0,0,2670.59,0,0,0,7.59,2.29,0,0,0,1.02,0,0,0,46.73,0,5.29,3.46,178.25,0,1.58,0,0,0,5.75,0,54.66,0,0,26.65,0,0,2.26,9.45,5.2
 72-82,0,0,2.39,0,6.03,0,0,5454.04,0,0,0.7,77.07,6.81,0,2.66,0.6,1.73,0.77,0,0,47.54,0,4.28,0,380.06,0,6.76,0.79,0,0.87,0,0,55.13,3.15,0,77.47,0,2.88,1.36,20.74,0.67
 84-94,0,0,4.47,0,11.48,3.31,0,3365.45,0,0,0,47.06,3.85,0,0,0,0,1.85,0,0,49.35,0,6.1,1.01,264.6,0,3.11,1.63,0,0,0.83,0,94.04,0,0,49.41,0,4.72,1.75,29.67,0.64
 96-106,0,0,3.43,0,12.22,11.06,0,4584.96,1.96,0.72,3.05,68.14,7.28,0,3.96,0.89,0,0,2.38,9.94,104.46,0,7.69,1.65,197.58,0,5.02,0,0,0,7.8,0,95.74,0,0,6.75,0,7.33,7.44,88.2,16.42
108-118,0,0,0,0,29.65,0,4.57,3485.05,0,0.78,0.48,49.17,3.54,0,0,2.72,0,0.58,0,6.06,121.13,0,18.14,4.32,351.79,2.55,5.14,1.71,0,0.91,0,0,45.41,0,0,22.31,2.56,3.24,0,88.36,4.9
120,0,0,0,0,22.24,0,0,2040.47,0,0,3.8,59.47,0,0,0,1.97,0,8.35,0,5.65,176.71,2.91,12.41,14.13,303.1,0,13.11,5.44,0,5.52,3.62,0,29.3,0,0,6.99,0,1.56,0,128.17,0
