stage,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1.62,0,0,0,0,0,0,0,0,1.45,7.38,0,0,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,40.68,0,2.07,3.07,0,0
 36-46,0,5,0,0.86,0.59,0,0,0,1.8,0,115.22,0,0.65,5.27,0,0
 48-58,0,7.46,0,0.77,0,0,7.78,0,5.17,0,70.59,0,0,5.65,0,0
 60-70,0,10.86,0,1.12,0,0,0,0.63,8.29,0.77,26.33,0.71,3.47,1.5,0.73,0
 72-82,0,0.65,0,1.57,0,0.49,0,0,0,0,11.34,0,0,0,0,0
 84-94,0,0,0,2.07,0,0,2.01,0,1.33,0,1.91,0,0.79,0,0,0
 96-106,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,2.52,0.73,0,0,0,0,0,0,0,6.14,0,0,0,0,0.94
120,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0
