stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,14.52,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,14.41,0,0.81,0,1,0,0,0,0,0,0,0,0,1.93,0,0,0,3.72,0,0,0,0,0,0,0,0.87,0.83,0,0,0,0,0,0
 24-34,0,31.9,0,1.4,0,8.8,0,0.65,0,0,0.74,0,0.92,0,4.61,1.54,0,1.71,29.56,2.09,0,0.95,0,0,0,0.65,1.86,0.63,6.13,0,0,3.73,0,0.77
 36-46,0,37.98,0,10.98,0.61,14.15,0,0,0,0,0,0,1.17,0,1.61,0,0,15.36,26.51,0,0,0,0,13.15,0,1.22,0.74,0,0.57,0,0,0,0,0
 48-58,0,40.57,0,42.43,0.85,4.08,0,1.71,0,0,9.07,0,3.86,3.34,2.74,0,0,0.38,77.14,0,0.41,0,0,0.91,0,2.74,2.11,0,1.8,0,0,1.94,0,0
 60-70,0,84.44,0,120.78,1.94,7.6,0,6.38,0,0,3.34,0,6.28,0,3.32,0,0,6.08,19.09,0,0.62,4.77,0,7.59,0,1.84,2.85,0,4.76,0,0,0,0,0
 72-82,0,36.33,0,88.32,2.36,1.93,0,23.24,2.43,0,0,5.43,13.54,0,10.69,0,0,1.6,46.77,0,0,5.44,0,0.55,0,0.73,2.87,0,13.43,0,0.8,0.5,0.5,0
 84-94,0,75.48,0,82.64,0,10.81,2.1,28.08,2.04,0,1.25,0,4.81,0,20.63,2.7,1.31,0.76,30.84,0,1.33,6.73,0,5.24,0,0.67,1.43,0,4.96,0.62,0,0.58,2.82,0
 96-106,0,56.87,1.32,59.88,0,6.36,6.68,25.6,1.88,0.84,0,0,1.65,0,12.3,0,0,0.57,25.39,0,0.63,2.43,0,0,1.35,1.4,0.57,0,0,3.67,4.06,3.19,1.58,0
108-118,1.15,84.51,0,44.31,0.47,20.82,0,27.64,1.6,0,0,0,7.8,0,6.76,0,3.27,5.12,38.42,0,0.47,6.44,0,7.11,0,2.35,3.63,0,0,1.91,1.95,6.14,4.94,0
120,0,193.43,0,59.87,2.24,66.9,0,103.49,21.05,0,0,0,24.1,3.84,29.98,17.12,8.68,3.51,81.29,4.12,0,3.15,0,27.48,0,2.6,1.21,0,0,1.23,0,26.44,0,0
