stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0
 14-21,1.05,176.43,1.76,0,0,3.41,0,0,0.96,0,0,25.96,0,11.19,14.85,0.81,0,0,0.98,8.2,3.5,0.82,3.86,0
 24-34,0,12.37,0,0.62,0,0,0.69,0,0,0,0,9.78,0.91,0,14.74,0,0,0,0,0,0,1.35,6.69,0
 36-46,0,18.31,1.69,0,0,0,0.82,0,0,0,0,20.88,2.54,2.25,26.59,0,0.74,0,0,0,0,0,3.04,0
 48-58,0,22.27,7.23,6.01,2.31,2.28,0,0,0,0.46,0,7.56,0.97,0.98,7.44,0,0,0,0,4.08,0,0,7.42,0
 60-70,0,6.83,2.33,1.12,2.81,0,0,0,0,0,0,3.89,3.43,0,11.58,0,0,0,0,0,0,0,0,0
 72-82,0,0.49,15.39,1.19,1.9,0,0,0,0,0,0,3.88,0,0.97,5.76,0,0,0,0,0.53,0,0,3.57,0
 84-94,0,2.57,2.29,4.51,2.04,0,0.97,2,0,0,0,1.85,8.06,0,0,0,0,0.89,0,0.9,0,0,10.49,0
 96-106,0,1.77,1.62,1.62,0,0,0,0,0,0,0,1.12,0,0,10.26,0,0,0,0,0,0,0,0,0
108-118,0,7.44,9.32,11.62,0,0,0,0,0,0,0.43,1.19,0,0,11.72,0,0,0.49,0,0,0,0,0,0.55
120,0,2.61,26.66,2.58,4.03,0,0,0,4.01,0,0,4.2,6.75,0,4.22,0,0,0,0,0,0,0,0,2.15
