stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,220.23,0,0,0,32.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.5,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,147.13,0,0,0,12.67,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,70.43,0,0,0,15.73,0,0,14.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11.24,20.66,4.43,0,2.96,0,0,0,19.43,0,0,0,0,0,0,36.62,0,8.59,0,0,3.12,167.44,10,0,1.78,1.27,0,0,1.81,5.88,0.86,0,1.06,88.97,0,0,0,0,0
 24-34,0,0,27.54,38.26,5.12,0,96.28,0,1.59,2.34,64.28,23.96,0,0.98,12.3,0,0.63,33.44,0,11.58,1.03,0,3.59,1439.42,9.67,1.22,11.01,0,0,6.18,0,0,95.36,0,0.76,403,0,0,0,0,0
 36-46,0,0,6.77,44.37,0,0,168.88,0,22.74,0.6,163.03,21.35,0,0,4.8,15.07,0,29.87,0,11.11,1.02,0,3.24,976.21,0,3.42,14.79,0,0,19.7,1.17,0,196.78,0,0.6,403.35,0,0,0.75,0,0
 48-58,0,0,3.14,45,0,0,269.61,0,6.93,8.76,306.98,48.32,0,0.92,19.33,0,0,123.71,0,22.09,1.8,0.57,3.09,570.41,10.15,0.85,27.29,0,0,39.16,0,0,149.38,0,0,286.24,0,0,0,0,0
 60-70,0,0.62,0,75.44,0,1.21,258.2,0,17.59,7.31,305.66,132.25,0,0,49.71,7.23,0,100.5,0,36.76,1.13,0,2.75,336.89,0,0,40.61,0,0,35.84,0,0,231.23,2.94,0,90.26,0,0,5.8,0.81,0
 72-82,0,4.4,1.26,72.26,19.38,8.08,262.32,0,14.54,13.12,472.71,500.04,0,7.6,65.19,17.19,3.72,412.53,0,178.39,7.61,2.39,3.3,464.37,5.01,2.92,36.07,0,0,177.63,0,0,412.28,0,0,55.93,1.34,0.78,6.72,3.07,29.76
 84-94,0,4.79,2.71,142.8,6.56,27.18,335.41,0.68,19.56,22.41,281.92,928.7,0,1.36,109.62,4.75,1.71,997.13,0,172.89,6.43,2.74,6.34,315.53,0,4.28,34.07,0,0,901.02,1.4,0,631.91,0,0,63.93,5.15,1.03,1.68,1.68,12.6
 96-106,0,23.29,1.86,176.44,32.15,9.27,442.2,0,25.35,30.04,371.57,1390.04,2.59,16.28,183.27,0,6.81,1715.23,1.41,225.46,20.03,0,12.95,663.93,1.47,8.34,65.18,0,6.31,531.56,2.2,0,920.11,0,0,42.28,5.12,2.47,23.33,12.5,20.73
108-118,0,5.85,3.47,184.76,17.87,13.52,310.49,0.55,19.39,20.25,378.41,1462.78,0,3.66,109.45,6.09,3.89,3149.04,2.1,178.7,9.21,4.02,6.82,648.1,0.5,4.87,40.96,0,4.41,553.53,1.22,0,681.16,0.69,0,24.69,14.83,1.19,8.83,4.12,5.34
120,0,3.99,1.28,126.05,9.42,26.57,260.23,2.34,6.79,15.2,302.29,751.63,0,1.38,61.03,1.17,9.75,1685.06,0,199.61,3.77,4.95,1.58,559.99,0,4.33,40.03,0,0,328.26,0,0,540.79,0,0,42.28,2.83,0,4.33,0,0
