stage,epidermis,eye,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.42,4.33,0,0
 14-21,1.7,0,0,0,1.1,0,0,0,0,1.52,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0
 60-70,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.6,0,350.5,0,0,0,0,0,0,0.75,1.86,0,0,0
 84-94,157.63,0,0,61.76,0,0,0,0,7.72,0,0,0,0,0,0
 96-106,95.47,0,0,1.62,0,0,0,5.97,0,0,0,3.58,0,1.6,0
108-118,268.38,0,0.47,1114.47,0,127.26,0.78,12.15,0,8.29,0.59,9.16,0,2.17,0
120,168.73,11.65,0,867.44,0,0,0,0,0,37.76,3.21,41.86,0,3.19,15.72
