stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,14.86,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73,113.93,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,28.98,3.2,0,2.05,0,0,0,0.88,0,0,0,0,0,0,0,0,11.49,0,0,5.7,77.49,57.29,1,8.97,4.47,0,0,4.48,0,15.7,31.28,0,0,0,0,0
 24-34,0,0,0,0,58.87,0,0,3.26,0,4.31,0,7.86,0,0,0,0,0,0,7.94,0,11.62,0,0,2.56,162.03,131.98,0,19.3,0,0,0.73,0,0,2.76,8.4,0,0,1.03,0,0
 36-46,0,0,0,0,36.25,0,0,9.03,2.01,16.11,0,34.19,0,0,0,0,0,0,3.01,0,42.92,0.65,0.89,12.63,174.11,84.47,1.35,12.7,0,0,3.44,1.05,0,0,10.43,0,0,0,0,0
 48-58,0,0,0,0.5,42.68,0,0,10.95,3.4,5.44,0.93,46.98,1.26,0.75,1.66,0,0,0,4.72,0,80.17,0,0.46,17.39,110.6,168.78,3.78,10.16,0,0,0,0,0,0,12.96,0,0,2.76,0,0
 60-70,0,0,0,0,71.81,0,0,26.45,4.2,2.54,1.77,110.85,0,0,0,0,4.12,0,20,0,242.84,0,0,42.6,88.47,85.14,5.21,13.59,0,5.22,0,0,0,0,6.93,2.17,0,0.63,1.92,0
 72-82,0,0,0,0,51.8,3.32,0,28.92,3.8,9.48,5.59,110.69,0,0,0.87,0,2.32,0.49,9.53,0,436.52,0,0,56.52,119.96,57.19,4.41,14.7,0,1.98,7.06,0,0,0,4.09,2.46,1.39,5.19,1.52,1.68
 84-94,0,0,0,0.57,76.8,0,0,38.28,1,18.85,0,83.83,0.87,0,0.97,0,9.82,3.32,13.78,0,316.08,0,10.28,38.63,91.69,81.03,0.71,28,0,0,1.28,0,0,0,5.53,10.58,3.2,3.64,0,0
 96-106,3.8,0,2.46,0,65.81,1.27,3.86,54.95,5.36,2.02,3.83,106.09,3.17,0,0,0.95,13.28,1.63,18.83,11.52,327.64,0.56,8.88,41.67,86.11,51.2,11.81,23.13,0,0,6.61,0,0,0,5.51,25,1.32,7.3,0.59,0
108-118,0,0,0,0,68.98,3.08,0.5,34.7,2.12,9.26,5.44,117.66,5.93,0,1.01,0.49,4.03,0,27.52,0,458.05,0,4.29,29.28,111.47,42.86,10.55,19.74,0,11.71,1.81,0,0.84,0,0.44,49.23,0,2.36,0.92,0
120,0,0,0,0,113.08,0,0,54.67,1.75,2.54,3.73,149.84,12.84,0,0,6.07,1.65,11.11,5.34,5.62,563.95,0,7.16,27.1,92.09,62.34,13.58,10.47,10.96,0,0,0,0,0,0,32.71,7.86,0,0,0
