stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,234.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,119.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.37,0,0,7.62,0,0,0,55.45,0,0,0,26.17,0,0,0,0,0,0,0,0,228.48,10.31,0,130.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,3.32,0,0,0,28.47,0,0,0,10.57,0,0,0,0,0,0,0,0,331.14,42.42,0,96.76,0,0,0,40.5,0,0,0,0,0,0,0
 14-21,0,0,0,3.34,7.29,1.34,0,6.84,0,0.86,0,2.35,0,0,0,0,0,12.99,0,10.01,114.14,4.81,1.28,5.34,0,1.61,51.2,0,6.4,56.29,22.28,0,0,0,0
 24-34,0,0,0,0,0.72,0,0,5.33,0,0,0,0,0,0,0,0,0,13.25,0,4.37,57.04,0,0.77,0,0,2.55,0,0,0,10.97,3.41,0,0,0,73.16
 36-46,0,0,0,0,0,0,0,2.98,1.19,3.32,0,0,0,0,0,0,0,11.51,0,2.09,37.84,4.59,1.4,0,0,1.14,0,0,4.82,0,8.74,0,0,0,389.2
 48-58,0,0,0,0,0,0,0,7.54,0,1.57,0.61,0,0.87,0,2.59,0,3.25,7.98,0.55,2,34.57,0.79,0,0,0,0,0,0,0,0,3.08,0,3.17,0,326.25
 60-70,0,0,0,0,0,0,0,11.31,0,0.96,0,0,0,0,0,0,0,4.44,0,0.6,9.33,0,0,0,0,0,0,0,0,0,5.72,0.61,0.58,0,426.43
 72-82,0,0,0,0,0,0,0,12.17,1.15,10.52,1.33,0,0,0,25.68,0,0,8.28,0,1.45,21.66,0,0,0,0,1.39,0,0,0,0,0,0,1.2,0,643.05
 84-94,0,0,0,0,0,0,0.89,16.33,0,3.97,0,0,0,0,2.51,0,0,19.57,1.07,0,7.41,0,0,0,0,0,0,0,0.66,0,0,1.8,0,0,326.16
 96-106,0,0,0,0,2.89,0,0,15.52,0,6.12,0,0,0,0,0,0,0,16.36,0.94,1.51,21.44,0,0.57,0,1.57,0,0,0,0,0,2.34,0,0,2.3,517.83
108-118,0,0,1.11,0,0.82,0,0,11.17,1.41,6.04,1.46,0,0,0.5,0.8,0,0,18.3,0,2.32,13.32,0,0.43,0,0,0,0,0,0,0,3.55,0,0,0,463.24
120,0,0,0,0,1.64,0,0,7.72,0,0,1.38,0,0,3.53,0,2.12,0,0,0,0,20.85,0,1.86,0,0,0,0,0,0,0,0,0,0,0,173
