stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,114.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.47,0,0,0,0,0,0,0,0,32.38,0,0,0,0
 14-21,0,0,1.04,0,0,0,0,0,0,0,11.79,0,0,0.83,2.9
 24-34,0,0,0,0.76,0,0,0,0,0,1.17,25.83,0,0,0,2.84
 36-46,0,0,0,0.57,0,0,0.63,0.66,1.14,0,9.65,0.7,1.61,0,1.78
 48-58,0,0,0,0,0,0,0,0.66,0,0,4.45,0,0,0,0.71
 60-70,0,0,0,0,0,0.64,0.99,2.45,0,0,1.58,0,0,0,0
 72-82,0,0,0,0,0,0,0.53,3.37,0,0,1.07,0,0,0,0
 84-94,0,0,0,0,0,0,0.86,3.57,0,0,0.82,0,0,0,0
 96-106,0,0,0,0,0,0,0.71,1.21,0,0,1.07,0,0,0,0
120,0,0,0,1.79,18.11,0,0,0,0,0,4.77,0,0,0,0
