stage,glial,neural,pronephros,spinal.cord
 24-34,0,0,0,0.85
 36-46,0,3.52,0,0
 48-58,0.49,0,0,0.4
 84-94,0,0,0,3.17
108-118,0,0,1.41,0
120,0,2.77,0,0
