stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.4,0,0,0,0,0,0,0,0,0,0,0,13.73,0,5.32,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,9.31,0,0,0,0,0,0
 14-21,0,0,0,0,1.76,0,0,0,0,0,1.23,0,0,0.86,0,0,0.99,1.48,0,2.13,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.92,0,0,0,0,1.63,0,0,0,0,0.74,0,0
 60-70,0,0,0,0,0,0,0,1.45,0,0,1.52,0.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.95,0,0,5.75,0,0.53,0,0,0,0,3.72,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,7.41,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0,0,0,0,0,0,0,2.72,0.56,0,2.98,0,0,0,0,0.62
120,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0
