stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,24.61,309.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.01,324.7,0,0,0,0,0,0,0,0,0,0,0,40.55,0,0,0,0,8.83,0,0,0,0
  7-9,14.65,6.88,8.07,0,0,11.92,0,0,0,0,0,0,0,85.36,6.98,0,0,119.98,0,0,0,0,0
 10-12,0,0,0,0,7.97,8.73,0,0,0,0,0,0,0,125.9,30.24,0,0,164.64,0,0,0,0,0
 14-21,0,0,0,3.61,0,1.24,0,1.15,0,0.97,0,1.75,1.03,26.98,0,0,0,1.7,0,5.6,1.77,8.63,0
 24-34,0,0,0,2.67,0,0.9,0,0,0.74,0,0,1.04,0,15.59,0,0,0.61,0,0,0,0,4.9,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,1.36,0
 48-58,0,0,0,0,0,0,1.53,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.54,0,0.95,0,0,0,1.08,0,11.37,0,0,0,0,0,0,0,14.09,0
 72-82,0,0,0,0,0,0.57,0,0,0,0,0,0.69,0,18.36,0,0,0,0,0,0,0,3.14,0
 84-94,0,0,0,0,0,0,0,1.64,0,0,0,0,0,3.48,0,1.26,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.65,0,0,12.34,0,0,0,0,0,0,0,0,1.26
108-118,0,0,0,2.51,0,0,0,0,0,0,0.86,0,0,10.13,0,0,0,0,1.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.28,0,0,9.63,0,0,0,0,6.8,0,0,0,0
