stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,42.54,1205.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.25,0,0,0,0
  5-6,248.78,2623.56,10.71,0,0,0,0,0,0,0,26.83,0,0,0,0,0,76.34,8.7,0,0,28.12,38.1,0,0,0,0
  7-9,31.46,35.21,54.47,0,0,48.12,0,0,0,0,39.55,0,0,0,0,0,1039.43,22.27,0,0,217.72,0,0,0,0,0
 10-12,0,14.16,13.79,0,0,65.25,0,0,0,0,12.73,0,0,0,0,0,556.87,5.57,0,0,168.99,0,0,27.71,3.87,0
 14-21,0,0,1.33,5.79,0.81,1.92,0,0,0,0,0,0,0,0,1.18,0,34.8,0,0,0.86,0,0,1.9,0,2.77,6.87
 24-34,0,0,0,1.8,0,6.1,0,0.74,0,0,0,0,1.72,0,1.63,0.71,57.06,0,0.77,0,0,0,0,0,1.33,14.4
 36-46,0,0,0,0,0,8.45,3.68,0,2.53,0,0,0,0,0.61,1.38,1.45,32.82,0,0,0,0,0,0,0,0,10.89
 48-58,0,0,0,0,0,14.87,0,0.5,3.56,0,0,0,0,0,2.23,1.12,18.99,0,0,0,0,0,0,0,0,4.97
 60-70,0,0,0,0,0,7.6,0,0,2.33,0.65,0,0,0,0,4.3,0,7.53,0,1.67,0,0,0,0,0,0,2.33
 72-82,0,0,0,0,0,1.22,0,0,2.47,0,0,0,0,0,0.84,0,4.48,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,1.95,0,0,0,0,0.7,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.81,0,0,0,1.24,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.6,0,1.24,0,0,0.82,0,0,0,0,0,1.86,0.5,2.41,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.56,0,0,2.71,0,0,0,0,0,0,1.28,0,0,0,0,0,1.6,0,0,0,0
