stage,eye,gut,neural,olfactory,vascular_smooth_muscle
 24-34,0,0,0.9,0,0
 36-46,0,0,6.89,273.09,0
 48-58,0,0,0.57,4.45,0
 60-70,4.29,0,1.8,34.07,0
 72-82,2.84,0,3.11,0,0
 84-94,0,0,0,22.62,0
 96-106,0,0.69,2.58,9.3,0
108-118,0,0,0,49.32,0
120,0,0,2.51,0,2.71
