stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,0,0,0,0,0,0,0,0,0,0,0,6.25,4.45,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0
 14-21,0,0,1.7,1.19,0,0,0,0,0,0.81,0,0,4.24,0,0,0,0,0
 24-34,0,0.8,0.62,0,0,0,0,1.21,0,2.1,0,0.78,16.04,0,0,2.11,0,0
 36-46,0,0,0,0.83,0,0,0,0,0,1.79,0,0,56.89,0,0,5.23,3.34,0
 48-58,0,0,0,4.67,0,5.01,2.65,0,0,1.66,0,0,84.39,0,0,14.77,0,0
 60-70,0,0,2.48,8.86,6.15,0,12.89,0,0,0.74,0,0,119.47,0,0,9.47,0,0
 72-82,0,0,0,24,0,0,3.67,0,0,16.21,0,0,105.45,0,0,12.14,0,0
 84-94,0,0,2.9,13.82,0,0,0,0,0,0.57,0,0,75.6,0,0,5.53,0,0
 96-106,0,0,0,11.69,0,0,2.82,0,0,11.37,0,0,67.57,0,0,0,0,0.73
108-118,0,0,0,16.66,0,0,0.82,0,2.31,1.36,1.38,0,68.12,0,0,0,0,0
120,0,0,0,17.76,0,0,0,0,0,1.71,0,0,81.52,0,0,0,0,0
