stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,8.12,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6.21,0,0,0,0,1.21,0,0,0,0,0,0,9.05,0,0,0,0,0,0.92,5.08,1.95,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0.69,0,1.92,0,0,0,0,0,0,0.68,2.82,0,8.26,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,5.26,0,0,0.79,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,6.72,0,0,0,0,0.55,0,0,0.6,0,0,0
 60-70,0,0,0,0,0.7,0,0,0.89,0,0.9,0,0,0,4.26,0,2.11,0,0.73,0,0,9.49,0,0,1.62,0,0.72,0
 72-82,0,0,0,0,0,0,1.32,0.78,0,0,0,0,0,9.39,0,10.13,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.62,0,0,0,0,0,0,0,0,3.8,0.6,2.26,0,0,0,0,2.15,0,0,1.06,0,2.62,0
 96-106,0,0.81,0,0.61,1.89,0,0,0,2.21,0,0,0,0.75,2.18,0,0,0,0,1.04,0,4.56,0,0,0,0,0.71,0
108-118,0,0,0,0,0,0.47,0,1.29,0,0,0,0.42,0,1.13,0,4.31,0.52,0,0,0,0,0,0,0,1.11,0.46,0.75
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,2.13,0,0,0,0,0,0
