stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,23.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.54,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,82.79,0,0,0,16.5,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,1.92,959.21,5.43,15.85,0,0,0,6.63,2.31,0.8,2.89,0,3.04,0,4.07,0,0,13.09,2.28,28.12,3985.84,10.49,0,50.99,6.47,68.66,12.02,12.58,7.63,1911.53,0,0,0,0,14.19
 24-34,0,1.12,7.16,1.47,24.75,0,4.16,0,33.72,0,0,1.85,0,0.59,0,0.7,6.3,0,17.26,0,6.26,3108.1,1.69,6.84,1.38,0,8.49,0,1.45,0,8347.8,0,0,1.74,0,0
 36-46,0,0,20.23,21.08,8.38,12.21,0,0,496.62,0,0,1.84,0,10.87,0,0.72,0,0,7.56,0,2.72,2402.49,0.97,2.3,2.7,0,8.51,0,0,1.38,7999.53,0,0,7.86,0,0
 48-58,0,0,0,0,39.76,0,0,0,563.44,0,0,0.5,0,0,0.64,0.58,0,0.59,19.21,0,4.34,1517.55,0,0.91,1.16,0,1.16,0,0,0,4022.53,0,0,0.82,0,7.01
 60-70,1.64,0,1.43,0,112.81,0.8,0,9.33,567.73,0.9,0,4.52,0.8,0,0,2.02,0,0,193.96,0,0,589.18,0,6.36,0,0,0,0,0,0,1313.5,0,2.06,1.68,0,0
 72-82,0,0,5.48,0.55,204.12,0,0,0,973.01,0.66,0,0.81,0,0,0,0.69,0,6.35,390.43,2.59,2.8,1137.33,0,0,0.5,0,2.07,0,0,0,1571.14,17.39,2.67,4.36,0,0
 84-94,0,0,24.94,8.49,109.21,0,0,4.36,507.68,0,0,0,0,0,3.17,1.03,0,0,356.23,0,0,642.35,0.98,0,0,0,2.06,0,0,0,693.73,0,0,8.04,0,0
 96-106,0,0,16.79,3.61,209.9,0,0,1.11,537.94,0,0,5.43,0.96,1.93,0,0,0,0,564.64,2.84,2.03,838.1,0,0,0.81,0,3.67,0,0,0,1527.67,0,7.22,3.21,0,0
108-118,1.15,0,5.68,1.03,141.55,0,0.42,0,1035.7,0,0,1.13,5.52,1.39,0,1.79,7.88,0,1108.19,0,1.31,832,0,0.64,4.94,0,2.04,0,0,0,476.19,0,3.35,1.92,1.67,5.13
120,2.96,0,48.37,0,270.87,0,0,0,1220.46,0,0,0,10.14,0,12.84,0,0,0,341.07,0,6.17,1793.05,0,0,0,0,9.89,0,0,0,412.12,0,0,0,0,0
