stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,486.84,14647.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,2121.12,26940.19,45.18,0,0,0,0,0,0,0,0,0,201.91,0,0,0,0,0,0,0,0,0,0,1199.14,77.51,0,0,271.15,0,443.71,0,0,0,0,0,0,0,0,0,0,0
  7-9,533.04,668.25,1074.86,0,18.86,0,1610.17,0,0,0,0,0,739.07,0,0,0,0,0,0,0,0,0,0,18199.88,549.11,0,0,6377.7,0,73.51,247.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,382.8,695.47,0,93.27,0,1074.75,0,0,0,0,0,290.65,0,0,0,0,0,7.47,0,0,0,0,11278.36,297.26,0,0,3621.5,0,26.67,191.16,29.15,349.38,0,18.37,34.01,0,0,0,0,0
 14-21,0,0.93,23.04,167.93,27.58,0,97.2,0,0,0,17.33,8.17,0,0,3.57,6.24,0,0,0,112.08,0,0,133.82,1583.2,96.25,9.39,8.42,47.46,0,64.83,3.67,153.28,6.1,0,134.96,478.46,0,0,6.12,0,0
 24-34,0,0,6.69,60.23,15.7,0,380.77,0,0,0,42.31,9.93,0,3.3,1.98,1.88,0.7,4.22,4.81,283.92,0.68,0.69,108.6,3183.78,34.53,22.21,21.16,0,0,180.49,0.86,3.08,3.65,0.93,10.68,754.42,0,0,59.74,0,2.89
 36-46,0,0,0,29.02,17.02,0,857.2,0,3.88,0,46.87,1.45,0,1.63,7.38,9.66,3.88,0.57,1.64,257.82,0.95,18.38,67.3,2100.62,1.62,14.48,4.9,0,0,82.83,0,2.6,1.24,0,0,506.2,0,0,62.06,0,3.35
 48-58,0,0,0,44.26,8.78,0,1100.8,0,0.8,0,51.51,1.03,0,4.96,0.98,0,4.07,3.73,7.16,252.65,0,6.49,47.29,1060.87,15.03,3.81,4.42,0,0,48.55,0,0,0.57,0,0,189.27,0,0,21.57,0,15.99
 60-70,0,0,0,53.32,1.03,0,714.14,1.28,6.81,3.49,61.62,7.09,0,2.35,6.27,0,6.46,5.64,0,210.45,2.63,15.48,45.11,597.03,7.35,8.71,13.33,0,0,24.16,0,0,6.63,0,0,26.31,0,0,18.3,0,3.92
 72-82,0,0,0,33.5,2.16,0,259.28,3.72,0,2.3,63.13,5.84,0,4.82,2.83,0.52,7.69,0.73,2.04,185.37,1.13,21.17,20.04,370.02,1.39,5.16,3.53,0,0,13.75,0,0,0.77,0,0,11.68,0,0,14.09,0,0
 84-94,0,0,0,27.98,13.76,0.73,194.37,0,0.74,0,36.54,13.36,0,2.59,8.91,1.11,1.96,1.26,2.37,146.9,0.78,24.3,28.64,280.47,2.73,5.19,4.82,0,0,41.53,0,0,3.05,0,0,3.35,1.4,0,30.14,4.08,0
 96-106,0,0,0.66,25.08,13.67,0.85,180.9,0.69,0.59,1.05,37.45,7.88,0,3.67,9.46,0,0.72,1.2,2.16,87.69,0,5.67,15.3,191.16,0.77,3.38,3.83,0,1.82,39.35,0,0,2.16,0,0,0.64,4.48,0,25.76,0,0
108-118,0,0,0,17.09,14.14,1.81,174.9,0,1.62,0,43.31,5.72,0,1.49,18.13,2.41,3.68,0.81,9.33,86.98,0,17.59,20.94,356.66,2.99,5.41,7.05,0,0,61.21,0.79,0,0.87,0,0,5.15,1.91,0.56,11.47,1.21,3.55
120,0,0,0,6.86,12.97,3.12,252.32,0,0,0,62.51,0,0,0,26.72,0,12.97,0,0,77.14,0,1.41,12.83,363.04,0,4.42,3.1,0,4.59,18.65,0,0,0,0,0,21.94,2.2,0,19.7,0,0
