stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,77.28,1833.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16,0,0,0,0,0,0,0
  5-6,32.2,660.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.94,0,0,0,6.9,9.92,0,0,0,0,0,0,0
  7-9,5.7,0,0,4.32,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,58.65,12.89,0,0,20.57,0,23.49,0,0,0,0,0,0
 10-12,0,0,0,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.48,48.03,0,0,28.04,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,29.87,0.85,0,0,0,0,0,25.09,0,0,0,0,0
 24-34,0,0,0,1.2,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0.7,272.4,1.37,5.66,1.12,0,0,0,83.65,0,0,0.63,0,0.79
 36-46,0,0,0,0,0,0,0,36.88,0,0,0,2.35,0,0,0,0,0,0,2.02,0,0,727.28,0,5.15,0.58,0,0,0,100.44,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,207.02,0,0.37,0,10.66,0,0,0,0,0,0,9.63,0,1.24,990.56,0,1.59,7.53,0,0,0,191.76,0,0,1.86,0,0
 60-70,0,0,0,0,1.15,0,0,581.09,0,0.65,1.67,15.6,0,0,0,4.22,0,0,9.04,0,1.13,1147.02,0,5.07,3.19,0,4.18,0,159.94,0,0,0,0,7.05
 72-82,0,0,0.88,0,2.79,3.56,0,446.34,0,0,0,27.58,0,0,0.5,0,0,0,13.61,3.64,1.43,817.54,0,7.93,9.17,0,0,0,65.13,2.12,0,0,0.79,0
 84-94,0,0,0,0,4.9,2.01,0,349.85,0,1.68,0,25.19,0,0,0,0.77,0.83,1.32,11.82,0.55,4.24,508.13,0,1.31,4.03,0,0,0,38.22,0,2.41,1.18,0,0
 96-106,0,0,0,0,3.14,1.25,1.05,271.04,0,0,13.8,30.45,0.56,0,0,0.66,0,2.77,12.35,1.14,0,389.43,0,10.85,8.06,0,0,0,24.6,0,0,0,1.89,0
108-118,0,0,0,0,4.54,0,0,160.2,1.3,0,0,12.38,0,0,0,0,0,1.29,14.87,0,0,523.74,0,3.81,8.14,0,0,0,12.62,0,0,0,0,0
120,0,0,0,0,6.39,0,0,209.07,0,0,0,64.19,0,0,0,1.29,0,0,1.6,0,0,647.43,0,14.31,9.2,0,0,0,27.71,6.92,0,0,0,0
