stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.67,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,27.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.18,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.31,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,14.49,7.83,0,0,26.3,0,0,0,12.48,0,0,0,0,0,0,0
 14-21,0,0,0,214.18,0,0,1.64,0,14.61,0,0,0.92,0,0,0,0,0,0.92,0,3.46,0,0,21.59,30.54,34.32,0,0,0,6.18,0.91,40.52,1.19,30.05,92.95,13.31,0,0,1.5,0
 24-34,0,0,0,64.15,0,0,0,0,75.88,0.83,0,0,0,0,0,0,0,2.78,0,4.15,0,0,10.97,36.13,0.69,0.98,3.1,0,0,0,1.22,0,4.95,21.82,1.52,0,0,13.45,0
 36-46,0,0,0,49.22,0,0,0.86,0,85.59,0.63,0,0.56,0,0,0,0,3.23,0,18.69,10.19,1.21,0,6.43,45.81,0,0,1.82,0,0,0,0,1.34,7.71,0,2.39,0,0,29.86,0
 48-58,0,0,0,18.79,5.51,0,5.53,0.58,49.47,1.59,1.31,0,0,0.66,0,0.55,12.74,3.25,0,9.78,0,0,34.18,65.43,0,0,3.52,0,0,0,0,1.01,0.46,0,2.84,0,0,32.64,0
 60-70,0,0,0,25.1,0,0,21.41,12.32,26.47,0.62,0,0,0,0,0,4.17,12.4,11.21,0,13.08,0,0.7,30.08,30.03,0,0,6.69,0,2.4,0,1.38,0,1.01,0,2.85,0,0,32.49,0
 72-82,0,0,0,16.5,0,0,3.95,2.52,12.88,8.12,5.97,5.32,0,0.58,0.72,7.07,1.78,6.95,4.43,19.25,0,0,14.21,65.12,0,0.56,4.44,0,1.54,0,0,10.14,1.5,0,0,0.62,0,98.89,0
 84-94,0,0,0,45.99,0,0,9.44,6.34,9.39,5.07,0,0.73,0,0,5.25,9.82,12.01,5.95,0,49.13,0.71,0,16.47,26.28,0,1.54,3.44,0,1.75,0,0,3.92,1.68,0,8.11,0.56,0,87.25,0
 96-106,0,0,0,54.16,7.51,0,9.16,10.23,5.08,1.07,3.92,2.98,0,0.99,0,20.85,4.49,19.98,10.29,40.62,0,0,18.71,34.71,0,2.26,4.66,0,1.58,0,0,3.02,0.7,0,1.98,1.64,0,100.51,0
108-118,0,0,0,44.42,0.69,1.14,14.77,5.15,13.58,1.38,3.46,3.64,0,0,0.48,10.13,13.73,12.39,4.35,10.43,1.15,1.5,29.54,42.21,0,2.75,3.84,0,7.86,0,0,7.93,0,0,0,0.5,3.26,68.47,5.19
120,0,0,0,75.96,0,0,0,5.82,13.41,1.29,8.31,5.44,0,0,0,8.78,6.86,13.23,1.06,29.71,0,0,41.67,89.16,0,1.62,3.98,0,0,0,0,7.65,2.35,0,16.53,0,0,60.4,9.56
