stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,ionocyte,liver,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,260.76,5820.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.29,0,0,0
  5-6,191.75,3410.38,0,0,0,0,0,0,0,0,0,0,47.1,0,0,27.85,38.66,0,0,0
  7-9,9.18,6.13,9.72,0,39.17,0,0,15.23,0,0,0,0,350.75,17.19,0,136.18,3.63,17.51,0,0
 10-12,0,7.18,18.39,0,13.79,0,0,5.18,0,0,0,0,212.93,0,0,84.55,0,5.62,0,0
 14-21,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.89,0,0,0,0.82,0,0,0,1.46,0.7,0,0,0,0,1,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,1.07
 48-58,0,0,0,0,2.29,4.91,0,0,0,0,0.39,0.5,8.35,0,0,0,0.6,0,0,1.84
 60-70,0,0,0,0,15.51,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,2.31
 72-82,0,0,0,0,2.62,0,0,0,0,0,2.04,0,13.69,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.64,0,1.05,0.64,0,0,1.28,0,3.99,0,1,0,0,0,0,0
 96-106,0,0,0,2.05,6.52,0,0,0,0,0,1.59,0,3.98,0,0,0,0,0,0,0
108-118,0,0,0,0,8.6,0,0,0,0,0.46,2.08,0,2.44,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,7.24
