stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0
 14-21,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.86,0
 24-34,0,1.38,0,0,0,0,0,0,0,0,0,0,1.32,0,6.24,0,0.98,0,0,72.46,33.57,0
 36-46,0,9.72,0,0.7,0,1.52,0,0,0,0,0,0,1.88,0,5.32,1,12.51,0,0,61.46,17.92,0
 48-58,0,5.39,1.43,0.93,0,1.72,0,0,0,0,0,0,17.19,0,9.04,0,0.38,0,2.18,29.51,27.76,0
 60-70,0,0,0,0.71,0,0,0,0,0,0,3.61,0,59.2,0,16.52,0,0,0,0,2.84,25.33,0
 72-82,0,4.14,12.3,9.62,0,0,0,18.88,0,0,4.17,0,98.05,0,9.91,0,3.63,0,0,4.7,47.19,0
 84-94,0,1.54,17.36,3.09,0,0,0.59,6.09,0,0.61,24.32,0,54.45,0,2.1,0,8.19,0,0,0,49.83,0
 96-106,0,12.6,10.41,7.74,0.65,0,1.36,0.62,0,0,50.64,0.57,128.62,1.46,10.41,0,4.21,3.02,0,2.07,76.86,1.22
108-118,0,31.33,8.54,4.66,0,0,0,1.63,0.79,0,42.59,0,109.01,2,5.84,0,11.86,2.87,0,0,42.45,0
120,0,14.72,16.71,21.03,0,0,0,0,0,0,31.94,0,71.55,0,18.3,0,2.87,0,0,0,34.23,0
