stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,23.5,5.85,0,13.21,0,0.91,0,5.57,1.14,0,0,1.78,0,0,0,0,12.2,0,0,5.92,320.94,9.84,2.35,0,2.41,0,1.82,53.38,1.28,7.52,138.51,78.8,0,0,1.87,0,0
 24-34,0,0,0,14.84,0.81,0,40.99,0,0.66,0.61,10.62,1.59,0,0,1.91,0,0,0,1.55,26.65,0,0,11.97,452.47,4.2,6,7.78,0,0,16.78,0,2.74,0,11.46,75.23,0,0,0,0,0.93
 36-46,0,0,0,6.3,1.4,0,31.73,0,4.52,0.61,18.36,0.56,0,15.77,0,0,0,0,0,37.02,0,0,3.57,257.35,1.14,5.2,0.89,0,0,7.63,3.29,0.79,0,0,64.09,0,0,2.99,0,0
 48-58,0,0,0.42,5.11,0.56,0,53.84,0,3.59,0,15.9,1.15,1.37,0,0.38,0,0,6.56,0,26.06,0,0.92,4.54,131.84,2.41,0,1.72,0,0,8.29,0,0,0,0,37.73,0,0,0.86,0,1.67
 60-70,0,0,0,7.27,0,0,75.46,0,0,2.71,28.53,0,0,0,0,0,0,1.92,0,55.77,0,11.44,5.19,107.58,1.31,0,2.06,0,0,19.15,0,0.59,0,0,21.78,0,3.5,0.72,0,0
 72-82,0,0,0,5.82,0.9,2.88,72.73,0,0.55,1.53,36.16,1.99,0,7.6,0.76,0.83,2.32,0,0,81.87,0,5.77,6.04,106.44,0,4.82,7.02,0,0,11.26,0,1.07,0,0,8.72,0,0,2.88,1.55,0
 84-94,0,0.66,0,2.9,4.44,0,24.72,0,0,2.27,24.13,2.4,0,0,0,0.64,1.89,0,1.76,60.09,0,8.56,2.91,47.26,0.65,1.66,2.07,0,0,18.2,0,15.73,0,0,0,0,0,9.14,2.9,0
 96-106,0,0,0,10.99,0,0,34.96,5.83,1.59,1.05,17.01,0,1.56,3.91,3.27,0.89,1.77,0,1.35,62.16,4.91,5.27,5.15,34.94,0,3.16,7.18,0,1.32,9.47,0,0,0,0,0.78,1.39,2.45,1.62,4.25,0
108-118,0,2.04,0,24,11.93,0.64,29.53,0,1.14,0.66,15.52,2.63,0,3.72,0,2.89,0,0.6,0,47.37,0,0,7.06,55.27,0,0.97,4.44,0,1.97,10.41,0,7.44,0,0,0.62,1.68,5.33,8.67,3.8,0
120,0,0,0,16.69,0,0,37.47,0,0,0,60.37,3.99,0,10.59,1.25,0,4.62,0,0,74.14,0,1.38,4.14,97.23,0,3.06,4.58,0,0,3.23,0,1.02,0,0,0,0,0,19.01,0,0
