stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
  5-6,6.19,69.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.84,0,3.3,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,18.01,0,3.79,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.87,0,0,0,0,0,0,5.84,0,0,0,0,0
 14-21,0,0,0,0,5.99,1.02,3.98,0,0,0,0.84,1.5,0,3.49,0,0,0,10.75,0,0,14.34,10.32,3.48,0,0,0,0,0,0,0,5.11,0,0.89,0
 24-34,0,0,0,0,0,0,4.8,0,0,0.89,0,0,0,2.03,0,0,0,2.08,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.84,0,1.44,0,0,0,0,0,0,0,0.88,0,0,2.72,0,0,0,2.96,0,0,0,0,0,0.81,0,0,6.04,0,0,0
 48-58,0,0,0,0,0,0,8.02,0,0.41,0,0,0,0,0,0,0,0,2.2,0,0,0,9.51,0,0,0,0,0,0,0,0,1.03,0,0,0
 60-70,0,0,0,0,0,0,213.66,0,0,0.59,0,0,0,0,0,0,0,1.33,0,0,0,23.42,0,0,0,0,0,0,0,0,0,0,0.72,0
 72-82,0,0,0,0,1.83,0.96,1347.12,0,0,10.43,0,0,0,0,3.21,0,0,11.86,0,5.33,0,42.59,0,0,0,0,1.14,0,0,0,5.49,3.9,0,0
 84-94,0,0,0,0,4.05,0,1451.8,0,0,0,0,0,0.73,0,0,0,3.65,10.32,0,0,1.26,19.92,0,0,0,0,4.77,0,0,0,0,0,0,0
 96-106,0,0,0.95,0,0,6.94,2346.7,1.02,6.1,1.71,1.73,2.23,2.22,0,2.47,0,20.5,14.09,1.62,2.39,0,44.45,0,2,0.84,0,12.29,0,0,1.79,2.85,0,7.78,0
108-118,0,0,0,0,3.17,2.32,2330.2,0.44,0.59,2.84,0.62,0,0.74,0,0,0,1.1,12.52,0,0,0.55,53.39,0,0,0.63,0,0.89,0,0,0,0,1.31,2.72,2.48
120,0,0,0,0,2.25,0,2389.67,0,0,20.46,0,0,0,0,0,1.48,0,30.51,0,0,0,68.23,0,0,1.84,0,2.47,0,0,0,32.86,0,0,0
