stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.19,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,76.11,0,0,0,60.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,79.92,0,42.2,0,63.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.08,33.93,0,0,390.64,0,0,0,0,145.87,0,20.88,0,0,0,0,0
 14-21,0,1.92,0,0.8,36.72,177.61,0,40.21,0,0,0,2.01,12.11,0,14.47,2.5,0,0,0,0,17.53,294.07,0,0,1034.87,240.55,2.27,0,1.87,18.66,0,3.47,1.23,131.75,5.4,2.42,1423.58,273.32,0,75.68,0,3.43
 24-34,0,0,0,0,6.6,9.68,0,15.83,0,0,5.02,1.05,0,0,63.42,1.36,0.63,0.6,0,3.11,22.79,494.55,0,0,567.39,194.12,1.91,0,2.13,0,0,4.69,0,2.33,0.79,0.6,74.86,82.27,0,279.82,0,6.7
 36-46,0,0,0,0,14.88,0.57,0,1.78,6.66,1.75,4.91,22.68,1.3,0,51.59,0,0,0.71,0,0,9.69,861.44,0,5.34,346.43,195.28,0,0,1.81,0,4.2,3.76,0,0,0,9.22,0,48.87,0.62,122.26,0.78,3.89
 48-58,0.55,0,0,0,6.67,1.9,0,48.3,7.05,0.89,12.37,47.85,0.38,2.63,40.14,0,0,0,0,0.48,5.06,902.83,0,9.85,261.83,205.62,0,1,0,0,4.82,0,0,0,0,9.38,0,53.04,0.84,91.62,1.27,14.22
 60-70,0,0,0,0,7.53,2.26,0,53.84,11.18,1.25,11.62,29.74,0,0,35.54,0,0,0,0,1.83,0.71,1134.31,0,47.11,206.44,162.87,0,0,0,0,22.68,4.74,0,0,0,11.73,0,27.88,32.4,160.91,14,0
 72-82,0,0,0,0,13.47,0.88,1.16,103.73,16.1,6.38,4.35,37.64,0.7,0,46.44,0,0,0.93,0,0.72,9.18,1321.18,1.3,67.4,215.86,123.79,0,0.52,4.36,0,9.67,10.18,0,0,1.23,6.81,0,17.49,56.22,285.66,82.1,0
 84-94,0,0,1.62,0,8.13,0,0,87.05,7.67,0.82,9.05,13.17,1.04,0,20.16,6.44,2.04,4.06,0,1.71,24.13,1198.09,0,59.16,162.37,124.87,0,0,4.84,0,5.98,9.88,0,0,0,7.66,0,7.79,47.6,285.98,69.89,9.31
 96-106,0,0,1.19,0,6.07,16.89,0,45.04,15.66,1.47,8.98,16.51,2.94,0,31.65,2.89,0,1.66,1.79,0.73,2.92,960.34,0,57.7,129.59,149.2,0,0,5.99,0,35.94,8.14,0,0,1.71,10.59,0,2.73,50.05,265.94,106.35,6.52
108-118,0,0,0,0,11.78,2.09,0,36.76,6.7,2.09,5.46,16.53,1.49,0,19.59,2.35,0,0.78,0,21.86,16.52,926.81,0,62.91,74.26,129.38,1.06,0,5.77,0,33.75,3.81,0,0,0.42,3.16,0,10.11,53.44,300.57,70.97,1.72
120,0,0,0,0,11.4,6.68,0,22.91,5.02,1.11,0,12.51,6.86,0,26.46,3.52,0,0,0,1.14,5.68,750.4,1.56,78.7,67.91,111.82,0,0,3.51,0,44.6,1.57,0,0,0,1.52,0,4.78,106.25,281.01,194.21,0
