stage,axial,blastomeres,endoderm,eye,ionocyte,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,38.21,467.61,0,0,0,0,0,0,44.36,0,0,0
  5-6,38.16,429.35,0,0,0,18.15,0,0,7.86,0,0,0
  7-9,0,0,3.34,12.47,0,22.03,0,7.79,0,12.47,0,0
 10-12,0,0,0,0,0,17.11,0,3.75,0,5.62,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.4
 36-46,0,0,0,0,0,0,0,0,1.46,0,0,0.78
 48-58,0,0,0,0,0,0,0,0,1.34,0,6.15,0
 60-70,0,0,0,0,0.71,0,0,0,0,0,0,0
 96-106,0,0,0,5,0,0,1.09,0,0,0,0,0
