stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc
  3-4,31.34,388.99,0,0,0,0,0,0,0,0,0,0,29.04,0
  5-6,14.99,289.53,0,0,0,0,0,0,0,8.85,0,0,0,0
  7-9,0,0,0,0,0,9.99,0,0,0,13.71,0,8.73,0,8.64
 10-12,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.99,1.04,0,0,0,0,1.34,0,0,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,1.61,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.79,0.89,0,0,0
 48-58,0,0,0,0,0,0,0.42,1.08,0,1.14,0,0,0,0
 60-70,0,0,0,0,0,4.92,0,0,0,2.85,0,0,0,0
 72-82,0,0,0,0,0,2.24,0,0,0.55,7.19,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.56,2.6,0,0,1.73,0
 96-106,0,0,0,0,0,0,0,0,5.88,3.56,0,0,0,0
108-118,0,0,0,0,0,0,0,0,6.56,11.87,0,0,0,0
120,0,0,0,0,0,7.37,0,0,7.01,39.18,0,0,0,1.53
