stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.62,658.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.34,516.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,0,0,10.54,0,0,0,31.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.1,4.69,0,0,56.38,0,0,0,0,0,0,0,0
 10-12,0,14.26,0,39.48,0,0,0,52.9,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,297.59,15.92,0,0,38.52,0,0,4.94,5.61,5.88,0,0,0
 14-21,0,0,0,1.09,2.51,0,0,2.97,0,0,1.08,0,0,0,0,0,0,0,5.12,0,0,0,17.27,0,0,0.86,0,3.24,0,0.86,2,2.19,0,0,0
 24-34,0,0,0.65,0,2.04,0,0,5.99,0.66,0,0,0,0,0,0,0,0,5.64,5.34,0,0,0,37.05,0,1.61,0,0,11.21,0,0.97,2.78,7.73,9.64,0,2.07
 36-46,0,0,0,0,6.27,0,0,8.79,0,0,3.29,0,0,0,2.23,0,0,8.67,4.62,0,2.04,1.21,22.27,0,0,0,0,1.1,1.82,0.7,0,5.62,0.65,0,12.64
 48-58,0,0,0,0,0,0,0,9.08,0,0.55,0.89,0,0,0,0,0,0.39,0.56,2.12,0,0,0.42,9.5,0,0,0,0,0.46,0,0,0,7.73,0,0,0
 60-70,0,0,0,0,0,0,0,1.6,0,0,3.33,1.41,0,0,0.98,0,0,3.72,6.37,0,0,0,6.27,0.66,0,0,0,11.22,0,0,0,3.19,2.13,0,0
 72-82,0,0,0,0,2.42,0.64,0,4.62,0,6.26,6.97,0,0,0.51,0,0,5.22,0,11.4,0,0,2.43,8.35,0,1.22,0,0,0.64,0,0,0,0,0,0.93,0
 84-94,0,0,0,0,0.58,3.23,0,4.66,0,1.44,6.87,0,0,1.57,0,1.17,0,0,1.26,0,0,0,2.94,0,0,0,0,4.11,0,0,0,0,0.58,0,0
 96-106,0,0,0,0,0.61,1.49,0,0,0,0,1.85,0,0,0,1.51,0,0,0,4.15,1.22,1.37,0,4.45,0,0,0,0,2.19,0,0,0,2,0,0,0
108-118,0,0,1.63,0,2.47,3.67,0.76,3.76,0.78,0,4.77,0,0,0,4.34,0.66,0.73,0,16.47,0,0,0.48,6.48,0,0,0,0,1.38,0,0,0,0.72,0.63,0,0
120,0,0,0,0,4.93,1.12,0,19.2,0,3.89,0,0,0,2,0,0,0,0,11.36,13.87,0,0,6.63,0,2.2,0,0,0,0,0,0,0,8.55,0,0
