stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.94,1.75,15.09,1.13,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.07,24.27,1.04,0,0,0,0,0.87,71.88,0,0.91,3.33,0,0,3.76,0,0
 24-34,0,6.73,2.77,3.93,0,0,0,0.91,0,1.48,1.75,0,0,0,0,6.3,0,4.85,42,0.65,0,0,0,8.41,0,245.37,1.27,0,8.21,0,0,60.03,0,0.86
 36-46,0,4.34,1.85,12.35,0,0,0,0.82,0,8.33,0,0,0,0,7.64,2.65,0,0.96,69.5,0.57,0,0,0,4.27,0,160.04,0,0,9.39,0,0,24.92,0,0
 48-58,0,1.24,0,16.53,0,0.55,0,4.41,0,0.52,5.3,0,0,0,1.47,12.04,0.69,0,62.11,0,0,0,0,0,0,54.21,1.86,0,12.85,0,0,19.07,0,0
 60-70,0,0,3.9,34.51,0,1.53,2.2,16.91,0,1.5,9.45,0.71,0,0,0,3.32,0,0,89.01,0,1.51,3.85,0,13.89,0,10.63,0,0,3.63,0,0,14.82,0,3.32
 72-82,0,2.24,8.31,27.1,1.71,2.19,0,34.94,0,1.12,21.23,0,0.75,0.9,0,18.23,0.51,1.17,49.13,0,0,0,1.67,4.49,0,3.32,0,0,0.81,0,0,24.95,0,0
 84-94,0,1.6,10.79,20.25,0,0,1.13,31.38,0.92,1.46,28.21,0,0,0,0.68,2.12,0,0,41.6,0,0,2.71,2.93,6.6,0,20.48,0,0,4.51,0.78,0,35.66,0.91,1.53
 96-106,0,8.88,4.54,10.94,0,2.14,0,50.82,1.1,0,38.85,0,0,0,0,22.49,7.81,6.82,82.76,0,0,0,0,3.69,0,1.25,0,0,0,0,0,38.74,0,0
108-118,0,4.44,6.24,41.03,0,0.57,0,46.46,1.44,2.87,44.85,0,0,0,0,12.08,0,0,40.94,0,0,0.91,0,2.38,0,0,0,0,0,0,4.23,30.31,0.79,1.27
120,0,10.71,17.82,34.63,0,2.16,0,118.46,0,0,69.15,0,0,0,0,21.66,0,3.69,83.63,0,0,0,0,0,0,1.74,0,0,0,0,0,29.17,0,0
