stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,38.08,761.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.24,0,0,0,0
  5-6,111.01,1466.36,0,0,0,0,0,0,0,0,62.36,0,0,0,0,0,0,0,0,72.76,27.52,17.72,0,15.65,0,0,0,0
  7-9,14.12,5.67,13.99,0,0,57.71,0,0,0,0,18.58,0,0,0,0,0,0,0,0,668.33,17.83,222.38,0,3.29,0,0,0,0
 10-12,0,12.57,9.27,0,0,15.33,0,0,0,0,4.88,0,0,0,0,0,0,0,0,341.14,8.59,103.14,0,0,0,13.36,0,0
 14-21,0,0,0,7.45,0,0,0,0,0,0,0,0,0,4,0,0,4.39,0,0,16.84,0,0.89,0,6.2,4.32,0,2.38,7.13
 24-34,0,0,0,3.03,0,2.19,0,0,0,0.71,0,0.8,0.73,0,0,0,6.19,0,0.87,9.02,0,0,0,7.57,0,0,0,0.94
 36-46,0,0,0,1.35,0,6.81,0,0,5.23,0,0,0,0,0,0,0,0.74,0.67,0,7.78,0.78,0,0,8.57,0,0,0,0
 48-58,0,0,0,0,0,6.27,0,0.55,0,0,1.19,0,0,0,0,0,1.79,0,4.99,1.67,0,0,0,8.05,0,0,0,5.41
 60-70,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,2.64,0.69,0,0,3.16,0,0,0,1.83,0,0,0,0.79
 72-82,0,0,0,0,0,1.58,0,0.87,0,0,0,0,0,0,0,0,2,0.75,0,8.75,0,0,0,0.54,0,0,0,0
 84-94,0,0,0,0,0,4.27,0,1.87,0,0,0,0,0,0,0,0,4.13,0,0,6.72,0,0,0,2.27,0,0,0,0.67
 96-106,0,0,0,0,0,1.99,2.2,0,2.26,0,0,0,2.59,0,0.7,0,7.51,0,0,2.3,0,0,1.32,4.04,0,0,0,0
108-118,0,0,0,0.61,0.45,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,1.17,0,0,1.13,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,18.08,0,0,0,6.48,0,0,0,0
