stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,neural,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.87,0,0,0,0.86,1.12,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,8.13,0.64,0,0,0,0,1.53,0
 36-46,0,0,1.64,0,0,0,0,0,0.8,22.13,0,0,0,0,6.07,0,0
 48-58,0,0,2.52,2.94,1.26,0,0,0,1.47,13.61,0,0,0.83,0,0.71,0,0
 60-70,0,0,12.44,0,0,0,0.85,0,3.27,11.12,0,0,0,0,0,0,0
 72-82,0,3,10.57,0,1.34,0,0,0,5.81,2.98,0,0,0,0,3.11,0,0
 84-94,0,0,4.52,0,0,0,0,0,1.4,15.21,0,0,0,0,0,0,0
 96-106,0,0,1.64,0,0,0,0,0,0,10.88,0,0,0,0,0,0,0.69
108-118,0,3.23,3.96,0,2.59,0.84,0,0.81,0,7.64,0,0.79,0,0,0,0,0
120,0,0,3.04,0,13.64,0,0,0,1.42,8.74,0,0,0,0,0,6.32,0
