stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,5.92,0,4.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0
 14-21,0.93,1.03,2.91,0,0,0,0,0,0,0,0,1.92,0,0,9.64,0,0,0,1.08,0,2.38,0,0,0,0
 24-34,0,1.92,0,0,0,0,0,0,0,0,0.79,15.05,0,2.03,3.33,0,0,0,0,2.06,2.32,8.42,0,0,0
 36-46,0,0,2.92,1.11,0,0,0,0,0,0,5.07,3.91,1.57,0,9.42,0,0,8.93,0,0,0,0.89,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.39,0.61,1.09,0.45,1.54,0,0,0,0,0,0,0.58,0,0,0
 60-70,0,0,0,0.91,0,0,0,0,2.7,0,3.18,25,0,0,0,0,0,14.2,0,0,0,0,0,0,2.5
 72-82,0,0,0,3.39,0,0,0,0,0,0,4.1,41.57,7.49,0.96,7.86,0,0,23.05,0,0,0,1.66,2.24,0,3.03
 84-94,0,0,0,6.7,0,0,0,0,2.33,0,11.25,26.51,6.12,5.2,21.34,0.57,0,12.38,0,0,0,0,0,0,9.47
 96-106,0,0,0,13.01,3.49,0,3.22,1.61,3.5,0,21.99,25.55,3.86,23.92,33.64,0,0,36.03,0.72,0,0,0,0,0,18.47
108-118,0,0,1.44,4.91,0,2.6,3.72,0,1.25,0,42.59,74.63,7.27,20.97,11.07,1.51,0,73.67,1.9,0.54,0,0,0,5.21,20.11
120,0,2.21,0,11.03,0,0,7.05,0,0,5.68,44.97,62.61,0,0,39.63,2.24,0,57.59,0,0,0,4.57,1.95,0,24.68
