stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm,pronephros
  3-4,0,21.18,0,0,0,0,0,0
  5-6,6.56,87.55,0,0,0,0,0,0
  7-9,0,19.05,4.46,68.23,331.64,9.59,64.33,0
 10-12,0,8.95,12.19,79.12,536.87,14.52,49.09,11.96
108-118,0,0,0,0,2.59,0,0,0
