stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.6,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27,0,0,0,16.8,0,0,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,34.95,0,0,3.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,1.78,0,0,0,0,8.55,0,0,8.81,0,0,0,0,0,0,0,0.9,0,1.75,0,0,0,0,0
 24-34,0,0.81,0,0.76,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0.9,6.83,0,2.47,124.22,0,0.73,0.74,0,0,0,0,0,0,19.29,0,0,0,0,0
 36-46,0,0,0,1.23,0,0,2.04,0,0,0.58,4.27,0,0,0,0,0,0,0,0,0.81,0,6.42,333.34,0,2.05,2.7,0,0,1.24,0,0,1.67,39.03,0,0,0,0,0.67
 48-58,0,0,0,4.99,0,0,30.73,0.37,0,0.84,16.34,0,0,0.47,0,0,0,0,0,18.56,0,1.9,772.65,0.51,0,5.1,0,0,0,0,0,0,103.48,0,0,0,0,0
 60-70,0,0.7,0,0.96,0.81,0,59.98,0,0,0.79,64.93,0,0,0,0,0,0,0,0,49.49,0,4.94,1668.49,0,3.56,6.12,0,0,0,0,0,3.99,148.71,0,0,0,0,0
 72-82,0,0.79,0,4,0.55,0,157.59,0,0,8.57,85.36,0.85,0,1.81,0.56,0,1.31,0,0,45.08,0,2.13,1379.38,0,2.29,7.57,0,0,0,0,0,0,139.28,0,4.08,0,0,0
 84-94,0,5.08,0,12.73,0,0,140.38,0,2.49,4.32,38.05,0,0,0,0.69,0.63,0,0,0,30.78,0,5.71,890.98,0,0,16.55,0,0,0,0,0,1.25,113.18,0,4.61,0,3.28,0
 96-106,0,0,0,15.49,8.38,1.05,129.95,0,0,6.45,21.86,1.02,1.39,0,0,0,0,0,0,91.87,2.34,0.61,775.04,0,5.81,22.79,0,2.17,0,0,0,3.9,35,5.67,0,1.02,0,1.22
108-118,0,0.79,0,26.35,1.11,2.51,91.02,0,7.65,3.08,40.33,0.43,0,0.82,0,0,0,4.83,0,67.81,0,2.88,707.07,0,3.43,16.41,0,0,0,0,0,5.5,26.36,2.39,1.46,0,0,0
120,0,0,0,15.25,0,0,127.66,0,0,5.14,98.86,2.91,0,0,0,0,0,5.48,0,72.77,0,0,1063.25,0,11.72,17.93,0,0,4.27,0,0,2.59,23.98,0,0,4.26,0,0
